split,grp,n,bias_c2_or_prior,mean_dfcs_cf1,mean_dpred_cf1,mean_dfcs_cf2,mean_dpred_cf2
dev,first game (gp=0),226,-9.35523737724749,1.72340338116763,-1.73578602933699,1.72340338116763,-1.73573852448114
dev,rated (gp>=1),335,-10.7246661661439,1.37342963162847,-1.47113576348077,1.12196161513956,-1.20783304616064
cond,first game (gp=0),153,-12.3158132987611,1.39255747330684,-1.40037873276969,1.39255747330684,-1.40036551080115
cond,rated (gp>=1),212,-11.3137710807295,1.08857523252501,-1.17348955760168,0.913847064786937,-0.990412957959485
