season,cutoff,wk,n_rows,n_fcsdiv,n_nonfbs,n_link_games,n_nn_games,lamf_off,lamf_def,pi_prior_nonfbs,pi_prior_fcsdiv,pi_data_pts_fcsdiv,free_gap,insample_link_resid,mean_prior_fbs_power
2017,2017-08-28,2,14,7,7,1,3,2.45264644040549,2.58903217463981,0.958161581686804,0.958161581686804,0.027892278875464,12.5852020926567,-5.48041676503724,1.16829622899016e-15
2017,2017-09-04,3,226,97,113,36,40,2.45264644040549,2.58903217463981,0.845297386547273,0.830562102146938,0.114259836454496,-7.37694672581173,3.48677759964772,1.16829622899016e-15
2017,2017-09-11,4,468,116,140,71,83,2.45264644040549,2.58903217463981,0.719174057432123,0.694761956111541,0.205993300612244,-7.88300864305031,4.30744420678973,1.16829622899016e-15
2017,2017-09-18,5,702,123,153,86,134,2.45264644040549,2.58903217463981,0.674541737015658,0.644204819082362,0.23946692584809,-8.35201139027511,4.57818311228436,1.16829622899016e-15
2017,2017-09-25,6,930,124,156,88,187,2.45264644040549,2.58903217463981,0.663677766304683,0.632209041357583,0.24745111990496,-8.22851196470659,4.52513041588771,1.16829622899016e-15
2017,2017-10-02,7,1156,124,160,90,248,2.45264644040549,2.58903217463981,0.655909053429878,0.620695050762305,0.255089608573035,-8.01364316883779,4.55729333391453,1.16829622899016e-15
2017,2017-10-09,8,1380,124,161,91,301,2.45264644040549,2.58903217463981,0.651078025731592,0.615010977186722,0.258853719360833,-7.88245096551531,4.56859169289606,1.16829622899016e-15
2017,2017-10-16,9,1612,124,162,91,359,2.45264644040549,2.58903217463981,0.648927024507552,0.612611271402741,0.26045665878344,-8.02066156828282,4.79522517676873,1.16829622899016e-15
2017,2017-10-23,10,1842,124,163,91,414,2.45264644040549,2.58903217463981,0.648023285222957,0.61091470938896,0.261554812952519,-8.11754690418433,4.95471085103688,1.16829622899016e-15
2017,2017-10-30,11,2064,124,164,92,472,2.45264644040549,2.58903217463981,0.64575369977266,0.607658471493901,0.263717946412724,-8.08246200109042,4.95218243815759,1.16829622899016e-15
2017,2017-11-06,12,2304,124,164,92,530,2.45264644040549,2.58903217463981,0.644025707186013,0.606207357642755,0.264699912977996,-8.06579222249784,4.9927347553456,1.16829622899016e-15
2017,2017-11-13,13,2524,124,164,93,586,2.45264644040549,2.58903217463981,0.640101863123009,0.601821529238404,0.267605426089492,-7.92625262880646,5.0080207746038,1.16829622899016e-15
2017,2017-11-20,14,2776,124,165,98,646,2.45264644040549,2.58903217463981,0.627627871482949,0.587878749316451,0.276727709153152,-8.05609597738168,5.23965607412489,1.16829622899016e-15
2017,2017-11-27,15,2928,124,166,98,656,2.45264644040549,2.58903217463981,0.628066885770035,0.587627232907612,0.276892410852644,-8.16626500905965,5.35217406844943,1.16829622899016e-15
2017,2017-12-04,16,2990,124,166,98,666,2.45264644040549,2.58903217463981,0.627715100665648,0.587346950636413,0.27707464351316,-8.10578353621221,5.31533021331554,1.16829622899016e-15
2017,2017-12-11,17,3008,124,166,98,670,2.45264644040549,2.58903217463981,0.627630117254671,0.587243038853799,0.277145526839908,-8.08063725461239,5.29594489408534,1.16829622899016e-15
2017,2017-12-18,18,3024,124,166,98,674,2.45264644040549,2.58903217463981,0.627589231214115,0.587205323910305,0.277171326885073,-8.09167452727108,5.30593443001162,1.16829622899016e-15
2017,2017-12-25,19,3040,124,166,98,674,2.45264644040549,2.58903217463981,0.627578700676933,0.58719443678064,0.277179057391303,-8.09607843789176,5.31046517240242,1.16829622899016e-15
2017,2018-01-01,20,3082,124,166,98,674,2.45264644040549,2.58903217463981,0.62734279665962,0.586930101344016,0.277354689104202,-8.09327484641188,5.31422708412672,1.16829622899016e-15
2017,2018-01-08,21,3096,124,166,98,675,2.45264644040549,2.58903217463981,0.627211015195107,0.586786245108344,0.277450079033586,-8.07891767163434,5.30599865465221,1.16829622899016e-15
2018,2018-08-27,2,8,4,4,2,1,2.55665744896056,2.66970031539848,0.868736338672701,0.868736338672701,0.105010929061839,-22.2013988852034,12.20260268087,-7.38405063589635e-16
2018,2018-09-03,3,236,99,120,39,41,2.55665744896056,2.66970031539848,0.851574758981746,0.834688872097394,0.132248902322085,-14.3506089686964,7.06115872438151,-7.38405063589635e-16
2018,2018-09-10,4,480,117,148,69,89,2.55665744896056,2.66970031539848,0.763103206458515,0.738639118329252,0.209088705336598,-13.630474480378,8.63717929355903,-7.38405063589635e-16
2018,2018-09-17,5,712,125,160,86,133,2.55665744896056,2.66970031539848,0.712523727009614,0.683815041577584,0.254197412863433,-12.6726750674412,8.69672462139017,-7.38405063589635e-16
2018,2018-09-24,6,938,125,164,94,184,2.55665744896056,2.66970031539848,0.689547773894069,0.656655696073516,0.277647887522844,-12.5267067564711,9.10047190185885,-7.38405063589635e-16
2018,2018-10-01,7,1166,125,166,99,237,2.55665744896056,2.66970031539848,0.675516308572824,0.640133624933296,0.290900622837286,-12.0242527312415,8.85574583371296,-7.38405063589635e-16
2018,2018-10-08,8,1388,125,169,99,294,2.55665744896056,2.66970031539848,0.675269598067134,0.637694466399183,0.29287388708866,-12.0665033005688,9.04594318497896,-7.38405063589635e-16
2018,2018-10-15,9,1624,125,170,100,353,2.55665744896056,2.66970031539848,0.672810931006427,0.634385330919135,0.296046615024084,-12.1118439562404,9.18884680287899,-7.38405063589635e-16
2018,2018-10-22,10,1838,125,171,101,405,2.55665744896056,2.66970031539848,0.670274454463089,0.630959726864525,0.298812561633387,-12.1843535238758,9.30941049364735,-7.38405063589635e-16
2018,2018-10-29,11,2064,125,171,102,463,2.55665744896056,2.66970031539848,0.666821049728913,0.627167933553502,0.301861875843033,-12.0568486896936,9.25807513890938,-7.38405063589635e-16
2018,2018-11-05,12,2300,125,174,103,523,2.55665744896056,2.66970031539848,0.666276802247595,0.624682045023893,0.303826612830179,-12.1452682864524,9.42092856283732,-7.38405063589635e-16
2018,2018-11-12,13,2526,125,175,104,580,2.55665744896056,2.66970031539848,0.663306365130845,0.620563747343956,0.307111881510483,-11.8538771693312,9.16401275210919,-7.38405063589635e-16
2018,2018-11-19,14,2774,125,175,109,638,2.55665744896056,2.66970031539848,0.651926456165731,0.608153224582585,0.31701461601267,-11.5717559321546,8.8774145459067,-7.38405063589635e-16
2018,2018-11-26,15,2932,125,175,110,651,2.55665744896056,2.66970031539848,0.649253363364535,0.605208193297611,0.31936582582515,-11.4514219645579,8.82844088874929,-7.38405063589635e-16
2018,2018-12-03,16,3004,125,175,112,661,2.55665744896056,2.66970031539848,0.644242736843932,0.599836065943348,0.323655591094185,-11.1828730216862,8.63521530648749,-7.38405063589635e-16
2018,2018-12-10,17,3022,125,175,112,666,2.55665744896056,2.66970031539848,0.644194747291751,0.599784932748936,0.323700550976603,-11.1795701886217,8.63653636303903,-7.38405063589635e-16
2018,2018-12-17,18,3036,125,175,112,669,2.55665744896056,2.66970031539848,0.644178008264096,0.599766096702768,0.3237160943666,-11.174668026771,8.63177320135501,-7.38405063589635e-16
2018,2018-12-24,19,3052,125,175,112,669,2.55665744896056,2.66970031539848,0.644155013373738,0.599739345849635,0.323737357013209,-11.1441315523498,8.60545202161129,-7.38405063589635e-16
2018,2018-12-31,20,3080,125,175,112,669,2.55665744896056,2.66970031539848,0.643947802990399,0.599508540053142,0.323921159798634,-11.1139209905066,8.58881856145425,-7.38405063589635e-16
2018,2019-01-07,21,3106,125,175,112,670,2.55665744896056,2.66970031539848,0.643756658896612,0.59928602401713,0.324099141560102,-11.1105589270638,8.59478819142814,-7.38405063589635e-16
2019,2019-08-26,2,6,4,4,0,2,3.23790813790406,3.41416332922614,1,1,0,,,-4.37257068160062e-16
2019,2019-09-02,3,224,101,107,35,37,3.23790813790406,3.41416332922614,0.877380255326748,0.873040446584293,0.101567642732566,-10.5990873747009,5.29253165477203,-4.37257068160062e-16
2019,2019-09-09,4,472,118,148,66,87,3.23790813790406,3.41416332922614,0.799588614122087,0.780113162017438,0.176400680346371,-9.80774583512873,6.13592728919557,-4.37257068160062e-16
2019,2019-09-16,5,712,118,160,85,137,3.23790813790406,3.41416332922614,0.754329432902788,0.722523674553574,0.222455351005143,-9.95631886515442,6.66843897476168,-4.37257068160062e-16
2019,2019-09-23,6,940,126,172,95,194,3.23790813790406,3.41416332922614,0.73769610606597,0.705210520918162,0.236304737258326,-10.0047431001726,6.8439699399052,-4.37257068160062e-16
2019,2019-09-30,7,1158,126,177,101,245,3.23790813790406,3.41416332922614,0.727595536648348,0.690122605603324,0.248370852688694,-9.77430648704812,6.74404677255808,-4.37257068160062e-16
2019,2019-10-07,8,1368,126,178,101,304,3.23790813790406,3.41416332922614,0.726135361365936,0.688248026553906,0.249871418725977,-9.75160839722878,6.82087253438391,-4.37257068160062e-16
2019,2019-10-14,9,1590,126,179,102,359,3.23790813790406,3.41416332922614,0.723523578579266,0.685006221185143,0.25246914272998,-9.78738485740931,6.90463021870965,-4.37257068160062e-16
2019,2019-10-21,10,1818,126,179,103,411,3.23790813790406,3.41416332922614,0.720670083777012,0.681821983265973,0.255015283104452,-9.7491192581342,6.92836450702887,-4.37257068160062e-16
2019,2019-10-28,11,2052,126,179,103,473,3.23790813790406,3.41416332922614,0.71946979817247,0.680568639239116,0.256018726798666,-9.84613782927305,7.07201866685711,-4.37257068160062e-16
2019,2019-11-04,12,2260,126,179,104,530,3.23790813790406,3.41416332922614,0.716361812083703,0.677025155975741,0.258856904259962,-9.83120085877449,7.07917200609401,-4.37257068160062e-16
2019,2019-11-11,13,2460,126,179,104,588,3.23790813790406,3.41416332922614,0.715395401161806,0.676025326320238,0.259662989147366,-9.80247989675615,7.09593795144061,-4.37257068160062e-16
2019,2019-11-18,14,2688,126,180,108,647,3.23790813790406,3.41416332922614,0.708548646076073,0.668053975240608,0.266040758282466,-9.75376344461824,7.11030377141163,-4.37257068160062e-16
2019,2019-11-25,15,2926,126,180,113,706,3.23790813790406,3.41416332922614,0.698927039312656,0.657363308012266,0.274595312890229,-9.73035726684535,7.18519225334215,-4.37257068160062e-16
