key,power_all,power_fcs,power_ii,power_iii,power_unknown,n_all,n_fcs,n_ii,n_iii,n_unknown
2017,-18.2154898034481,-14.6271413948264,-24.1769689538942,-23.9900811388522,-32.9668450652341,536,374,110,9,43
2018,-17.8477367397639,-14.3087570887926,-24.0585351175035,-27.344331539024,-32.5999246202396,702,498,138,13,53
2019,-18.1465338718502,-14.4492421973809,-24.722984809037,-29.3724260822184,-33.0457762064868,877,623,170,18,66
2021,-18.2212784429764,-14.4640805726881,-24.6811790382863,-30.2666916900663,-33.1343181123991,1057,749,203,22,83
2022,-18.1611295942233,-14.4846413789155,-24.5997034065363,-30.3006575766791,-33.5737511141865,1225,877,230,23,95
2023,-18.3403017233737,-14.6714634775102,-24.8127405867677,-30.7634672170385,-33.9766878698961,1400,1007,259,24,110
