split,type,scrimmage_plays,dropped_share
cond,FBS-FBS,275740,0.0805069993472112
cond,FBS-FCS,40736,0.233233503534957
dev,FBS-FBS,478114,0.0876778341567074
dev,FBS-FCS,64739,0.226679435888722
