split,n,actual,pred_c2,bias,fbs_r,site,fcs_r,fcs_prior_mean,fcs_update,implied_fcs,fcs_free_level,n_free,pts_ff,pts_link,pts_nn,luck_ff,luck_link,hfa,sr_ff,sr_link,prior_fbs,prior_nonfbs
dev,335,30.6835820895522,19.9589159234083,-10.7246661661439,-0.913225926144311,3.34132807267651,-17.5308137768761,-17.882266038876,0.351452261999909,-28.25547994302,-27.4515677987812,333,-0.0884411075899355,-4.26849018541302,1.44186078801902,-0.000965238933492192,-0.00226555809000037,0.332921445229664,-0.0228277086581151,-1.26647547022404,-0.213635355225473,-13.4424953859907
cond,212,31.3490566037736,20.0352855230441,-11.3137710807295,-2.07894172371103,3.0395912013943,-19.0746360453608,-18.6004401770549,-0.474195868305939,-30.3884071260903,-29.6918005743762,209,-0.0475745598862531,-4.85548925121221,1.01242437484469,-0.00284889021361602,-0.00216993830413298,0.370602479036252,-0.0152932786427244,-1.32958611186059,-0.159968886606464,-14.0447319825158
