season,n,bias,fcs_r,fcs_prior_mean,implied_fcs,pi_prior,insample_link_resid,pts_ff,pts_link,pts_nn,luck_ff,luck_link,hfa,sr_ff,sr_link,prior_fbs,prior_nonfbs
2017,48,-7.90350286938677,-16.8031172885542,-18.1032402036384,-24.706620157941,0.745699590291761,3.49825553248558,-0.188657485476968,-3.99840238268925,2.50560315860113,-0.00797446853851977,-0.0664421176735822,0.301485399246859,-0.0310383979867241,-2.11141427979677,-0.1570190466002,-13.0492576676402
2018,65,-13.1117134618325,-17.4316055409882,-18.0481799534499,-30.5433190028207,0.74313069281985,8.23915554746528,-0.184106844617757,-5.11616490452314,1.92683019748251,-0.00210189223332023,-0.0329567827050768,0.412314716251896,-0.0473962134983953,-1.43511942532881,-0.350208576876546,-12.6026958149396
2019,72,-11.4382268697145,-17.0648069314594,-17.5206814839197,-28.5030338011738,0.784973300046023,,-0.0833348575755237,-3.83898103613969,1.58565324265419,0.00290215627473027,0.0296864989908879,0.288418011093797,-0.0333918698384169,-1.27953504076677,-0.302483095152963,-13.4337409409996
2021,72,-8.10143114627135,-18.7239645454223,-18.3940632448627,-26.8253956916937,0.79441398093074,,-0.0657627198754367,-4.09244120833874,0.317827701965477,-8.9480607634874e-05,0.00543297519604813,0.377529959594799,-0.0152576291362617,-0.716217427437394,-0.0503307939696778,-14.4846559228135
2022,78,-12.2343368686868,-17.3900907551689,-17.4693625102851,-29.6244276238557,0.788749065732002,6.42608127742808,0.0273045991908896,-4.28727919676702,1.28794642980178,-8.29513555896052e-05,0.0262031849045183,0.286008647976102,0.00546254495470203,-1.10185200945814,-0.203394516024594,-13.4304074883916
2023,76,-9.3231511164619,-18.1228758728494,-18.2609586433904,-27.4460269893113,0.799117305407993,,-0.0851610591896662,-4.10097254833611,1.18954533772254,-0.00470737506319522,0.00766516870441327,0.363377211013627,-0.0310191126228227,-1.019346830443,-0.0686279577161695,-14.373628706919
2024,60,-10.8927456955193,-19.4736614019591,-18.3967408033415,-30.3664070974784,0.757488540744785,7.84629638691531,-0.0196546357077855,-5.66389543949089,0.758666392442843,-0.00253275607500772,-0.00967247817930923,0.425804024964096,0.00212741090539218,-1.47279076437448,-0.144787290740923,-13.346925865703
2025,76,-13.6367795070051,-19.7113761995052,-19.1007370057562,-33.3481557065103,0.77173047926625,6.34446008144734,-0.0320301059868934,-4.97179054228936,1.03563866123146,-0.00123998494714864,-0.00608198751648746,0.334247579221104,-0.0133206206216657,-1.52676908866196,-0.263295285916921,-14.2667348240173
