season,split,n,prior_level,c2_level,implied_level,prior_err,c2_err,retained,pi_prior,free_level,eos_prev_fcs_penalized,eos_prev_fcs_free
2017,dev,48,-18.1032402036384,-16.8031172885542,-24.706620157941,6.60337995430252,7.90350286938677,1.1968874915697,0.745699590291761,-23.7466631905824,-14.3143779799576,-27.817928891226
2018,dev,65,-18.0481799534499,-17.4316055409882,-30.5433190028207,12.4951390493707,13.1117134618325,1.04934514214092,0.74313069281985,-31.6662276878744,-13.3484689399489,-27.4723132361472
2019,dev,72,-17.5206814839197,-17.0648069314594,-28.5030338011738,10.9823523172542,11.4382268697145,1.04150973664759,0.784973300046023,-27.6640925400341,-15.0089348699963,-29.5400710238234
2021,dev,72,-18.3940632448627,-18.7239645454223,-26.8253956916937,8.43133244683094,8.10143114627135,0.960871985224163,0.79441398093074,-25.521916287177,-10.2940322120789,-25.4028925286247
2022,dev,78,-17.4693625102851,-17.3900907551689,-29.6244276238557,12.1550651135706,12.2343368686868,1.00652170550923,0.788749065732002,-27.7823181718253,-14.6049542216052,-26.8552761345216
2023,cond,76,-18.2609586433904,-18.1228758728494,-27.4460269893113,9.18506834592089,9.3231511164619,1.01503339608816,0.799117305407993,-28.285066516718,-15.9317940964916,-29.3474573718313
2024,cond,60,-18.3967408033415,-19.4736614019591,-30.3664070974784,11.9696662941369,10.8927456955193,0.910029187768996,0.757488540744785,-30.5234454245196,-15.3621912834873,-28.0542069636816
2025,cond,76,-19.1007370057562,-19.7113761995052,-33.3481557065103,14.2474187007541,13.6367795070051,0.957140362996656,0.77173047926625,-30.386443932277,-16.5478035792428,-30.0956345790571
