n_nonfbs_games,team_seasons,mean_s,sd_s,mean_pts_link_contrib
0,104,-0.0430729359092892,0.0147678768736402,-0.884788816032982
1,533,0.00712801590862134,0.00946090206123285,0.152876864911999
2,14,0.0485966325193497,0.00766474117512918,0.752476276381038
