split,div,n,bias,lo95,hi95,mae,pred,last_eos
dev,fcs,226,-9.35523737724749,-12.0460421829028,-5.8871919461596,16.0834819806594,prior_rule,
cond,fcs,153,-12.3158132987611,-13.6884901493809,-10.4360660337075,15.4903958033321,prior_rule,
dev,fcs,226,-0.844801050793334,-3.11799172396101,1.42890377031709,15.3617949995861,flat25,
cond,fcs,153,-4.2765696880728,-6.2054751291118,-3.06992550535961,13.5100369952395,flat25,
dev,,188,-9.94999844287896,-11.7484032881278,-7.37516958732062,15.6102566692888,prior_rule,TRUE
dev,,38,-6.41273526307071,-26.4162662284694,-2.35987108432635,18.4247019421768,prior_rule,FALSE
cond,,153,-12.3158132987611,-13.6368295250078,-10.5418360236933,15.4903958033321,prior_rule,TRUE
