split,type,n,bias_c2,mae_c2,rmse_c2,calib_slope_c2,cor_c2,mae_prior,calib_slope_prior,mae_hfa_only,sd_actual
dev,FCS vs FCS,2958,0.728740265324385,13.2605499008586,16.869254029241,1.00124412697115,0.600833194480198,14.8256179007928,1.14112809309025,16.6769882371883,21.086924685098
dev,FCS vs lower,44,-16.8943992254693,19.5134557935178,23.6326193441487,0.931454972104506,0.643941164459683,24.6952163999316,0.966425016681521,33.0342785385656,21.8072834391095
cond,FCS vs FCS,1878,-0.0746370808551541,12.7438431171802,16.2643424640787,1.0202882151093,0.605388711279072,14.0523673719805,1.17145538091526,15.9508095071886,20.4372789816024
cond,FCS vs lower,38,-17.704397807736,21.4597907169412,25.4056822112577,0.573657273934603,0.45203557280833,26.5196424469057,0.657966673110192,40.9913065940288,19.3728116737849
dev,FBS vs FBS (reference),3868,0.638047045732453,12.8343786429205,16.2065963810173,0.99739708964466,0.639853480001506,,,,21.0750188581727
cond,FBS vs FBS (reference),2398,0.121507272998011,12.2655510379735,15.4395420857215,0.983334072821443,0.643039211740565,,,,20.1619877620218
