split,wk,n,bias,lo95,hi95,mae
dev,2,195,-9.35765359014085,-12.3150469493713,-5.65057623464193,16.2968831438766
dev,3,23,-9.34971231830534,-16.5909966567765,-1.64278321714949,15.4580031622099
dev,1,8,-9.31222673243048,-16.1474695662517,2.13958375262567,12.6800802302811
cond,2,138,-12.3839116937202,-13.6724111375195,-11.0297073827302,15.5121853375516
cond,3,12,-14.994656004128,-19.4508600306287,-9.65800442499323,17.6645291559618
cond,1,3,1.53208369082897,-2.5049836958829,9.60621846425271,5.79154381871779
