split,arm,J,fbsfbs_n,fbsfbs_logloss,fbsfbs_brier,fbsfbs_mae,fbsfbs_rmse,fbsfbs_winners,fbsfbs_calib_slope,fbsfbs_calib_slope_site,fbsfbs_p4g5,fbsfcs_n,fbsfcs_bias,fbsfcs_mae,fbsfcs_rmse,fbsfcs_winners,fbsfcs_logloss,fbsfcs_brier,fbsfcs_pred_sd,fbsfcs_pred_mean,fbsfcs_fcs_mean,fcsfcs_n,fcsfcs_mae,fcsfcs_rmse,fcsfcs_bias,fcsfcs_calib_slope,fcsfcs_spearman,family
cond,C0,0.48781745967031,2398,0.530400815436501,0.180026747851373,12.2655510379735,15.4395420857215,0.720183486238532,0.983334072821443,0.984504148534084,0.484793513531429,365,-11.7338052159592,15.5286323655914,19.3278914404858,0.93972602739726,0.208050645622833,0.0545852120212624,12.4628246728162,19.7100304004792,-18.188544025154,1878,12.7438431171802,16.2643424640787,-0.0746370808551536,1.0202882151093,0.591030106939556,C0
cond,FLAT_on_L_last_n20,0.479955517398249,2398,0.532105998765866,0.180664183563494,12.3159351738814,15.5112752651988,0.71768140116764,0.97161745496898,0.972631611456644,0.552973691498796,365,0.02191931031302,13.5084732048666,16.828469628039,0.961643835616438,0.137333998714563,0.0348403653433094,11.4721478345685,31.4657549267514,-29.3996213901034,1878,15.9493202070741,20.4500168140889,-0.735896442865378,0.0319307555276354,0.516654716116973,FLAT
cond,G04,0.481752468824078,2398,0.530085348754024,0.179916999748614,12.2626510268003,15.4331764492333,0.720600500417014,0.983226969648947,0.984386133506134,0.441323202172287,365,-8.03814031893355,13.8643030345266,17.3153959539006,0.953424657534246,0.164212068626781,0.0414039641801909,12.4325753532778,23.4056952975048,-21.7303373950461,1878,12.6948994400504,16.2065908535744,-0.0537885199241145,1.03203050498163,0.594723378083248,G
cond,G06,0.479525910226744,2398,0.529958946437542,0.179873943591861,12.2626284806761,15.4310376692957,0.721017514595496,0.982992290662487,0.984144133352526,0.419588046492715,365,-6.19030787042074,13.2253501254982,16.5330257338592,0.958904109589041,0.148187770956901,0.0372963492704382,12.4233478794875,25.2535277460176,-23.5012340799921,1878,12.6732338933677,16.1812156034302,-0.0433642394585937,1.03716469944231,0.596263063598966,G
cond,G08,0.47777463197327,2398,0.529853409654855,0.179838759149069,12.2633357309462,15.4295953322129,0.72185154295246,0.982637374769761,0.983780669449216,0.397852890813145,365,-4.34247542190793,12.7219523990866,15.9306547744137,0.961643835616438,0.135624196684392,0.0344815842717255,12.4180647930598,27.1013601945304,-25.2721307649381,1878,12.6534185734462,16.1581890533914,-0.032939958993074,1.04178758476352,0.597701552556564,G
cond,G10,0.476453963991569,2398,0.529768705661501,0.179811433344335,12.2646356884358,15.4288496333017,0.72185154295246,0.982162716864838,0.983296251239304,0.376117735133575,365,-2.49464297339513,12.4315919853693,15.5292434431192,0.964383561643836,0.126183414609391,0.0327062843234065,12.4167311287846,28.9491926430432,-27.0430274498842,1878,12.635613872313,16.1375212575072,-0.0225156785275543,1.04588587944631,0.599009037821557,G
cond,G12,0.475521334696473,2398,0.529704789751756,0.179791946677928,12.2662031052748,15.4288006735713,0.721434528773978,0.981568897718214,0.982691475645097,0.354382579454002,365,-0.646810524882321,12.3210966423349,15.3445710607622,0.961643835616438,0.119543457374387,0.0317406773521351,12.4193481590001,30.797025091556,-28.8139241348302,1878,12.6195560980886,16.1192212888455,-0.0120913980620344,1.04944780154766,0.600039434079621,G
cond,G14,0.474936685450163,2398,0.529661605131019,0.179780273209477,12.268379022894,15.4294484596541,0.720183486238532,0.980856582781382,0.981967025829037,0.33264742377443,365,1.20102192363049,12.3855186830577,15.3844447059656,0.961643835616438,0.115401459711279,0.0313829710765818,12.4259133875309,32.6448575400688,-30.5848208197763,1878,12.6054508002428,16.103297219885,-0.00166711759651381,1.05246315679577,0.600970668946735,G
cond,L_expanding_n0,0.481114124527887,2398,0.52948456971306,0.17969804108858,12.2654973484678,15.4261564682776,0.721017514595496,0.981012801565299,0.982117911287912,0.3434063081227,365,-3.88082055075957,14.0306076187061,17.5397532011254,0.956164383561644,0.163326925749678,0.0450079069312031,14.6329847470457,27.5630150656788,-25.5123905598931,1878,12.4447635381588,15.9014457562417,0.122381694177006,1.0743820605847,0.614138519493803,L
cond,L_expanding_n20,0.475047533452512,2398,0.529526323447466,0.17971770346738,12.2671251399806,15.4265929536445,0.721434528773978,0.981091009421472,0.982176530987602,0.341002222482794,365,-0.0658096684659753,12.2868248462479,15.2924497647233,0.961643835616438,0.117129346033625,0.0314066880998181,12.5297671192224,31.3780259479724,-29.3401191991087,1878,12.4439298507522,15.8996376151955,0.127915886431491,1.07409775983252,0.614173839521015,L
cond,L_fixed_n0,0.481100833325186,2398,0.529484570134945,0.179698041076915,12.2654973499068,15.4261564692943,0.721017514595496,0.98101280135467,0.98211791108048,0.343406298649003,365,-3.86036629499382,14.033196814679,17.5410415583401,0.956164383561644,0.163226310394224,0.0449939122248276,14.6365449202965,27.5834693214445,-25.5328448065366,1878,12.4447635591821,15.901445782909,0.12238164652011,1.07438206125303,0.614138519493803,L
cond,L_fixed_n20,0.475029748088896,2398,0.529530834968479,0.179720156559656,12.2671454319416,15.4266877758066,0.721017514595496,0.981080523514676,0.982167323194123,0.340728581762918,365,-0.00864833520975098,12.2877176048487,15.2903369434231,0.961643835616438,0.116965073192349,0.0313935205457623,12.5203125284233,31.4351872812286,-29.396030473088,1878,12.4484615048219,15.905014311885,0.119775892408048,1.0741753971491,0.613847129948907,L
cond,L_last_n0,0.481006318443346,2398,0.52948456986429,0.17969804117054,12.2654973586923,15.4261564721284,0.721017514595496,0.981012802012456,0.982117911601027,0.343406307833385,365,-3.75954934806316,14.0486407621139,17.551298672784,0.956164383561644,0.162510847464102,0.0448213327411461,14.6633244768162,27.6842862683752,-25.6336617085,1878,12.4447635211665,15.9014457413339,0.122381708845435,1.07438206242482,0.614138519493803,L
