split,arm,games,metric,delta,lo95,hi95
cond,S4_on_G12,all,logloss,-0.0119760352382864,-0.0189224838770352,-0.00576713002663723
cond,S4_on_G12,all,brier,-0.003106635791838,-0.0050865431388441,-0.00130626615790551
cond,S4_on_G12,all,mae,-0.406545721854678,-0.643447571988424,-0.193853908349955
cond,FLAT_on_L_last_n20,FBS-FBS,logloss,0.00170518332936564,-0.00114906072035224,0.00460288567416864
cond,FLAT_on_L_last_n20,FBS-FBS,brier,0.000637435712121231,-0.000538595461972206,0.00179170704759195
cond,FLAT_on_L_last_n20,FBS-FBS,mae,0.0503841359078791,-0.00301124282945109,0.103663025075596
cond,FLAT_on_L_last_n20,all,logloss,-0.00786194227205936,-0.0158203130022776,-0.000320818027285236
cond,FLAT_on_L_last_n20,all,brier,-0.00205512059348032,-0.00455304139707911,0.000465325970319385
cond,FLAT_on_L_last_n20,all,mae,-0.223140403821011,-0.420634748084295,-0.0307420646116278
cond,SR_on_L_last_n20,FBS-FBS,logloss,-0.000873687654533396,-0.00210852001674095,0.000342344301905457
cond,SR_on_L_last_n20,FBS-FBS,brier,-0.000304543245015833,-0.000770225592289945,0.00015720663258848
cond,SR_on_L_last_n20,FBS-FBS,mae,0.00272803295063777,-0.0231854109317951,0.0287976552240725
cond,SR_on_L_last_n20,all,logloss,-0.0128238183890724,-0.0198723448327701,-0.00647878875738419
cond,SR_on_L_last_n20,all,brier,-0.0033372842247279,-0.00531064446323727,-0.0015079057672436
cond,SR_on_L_last_n20,all,mae,-0.422880634511965,-0.670856279070466,-0.199992053857163
