split,arm,J,fbsfbs_logloss,fbsfbs_mae,fbsfcs_bias,fbsfcs_mae,fbsfcs_logloss,fbsfcs_fcs_mean,fcsfcs_mae,fcsfcs_calib_slope,fcsfcs_spearman
cond,C0,0.48781745967031,0.530400815436501,12.2655510379735,-11.7338052159592,15.5286323655914,0.208050645622833,-18.188544025154,12.7438431171802,1.0202882151093,0.591030106939556
cond,G12,0.475521334696473,0.529704789751756,12.2662031052748,-0.646810524882321,12.3210966423349,0.119543457374387,-28.8139241348302,12.6195560980886,1.04944780154766,0.600039434079621
cond,L_last_n20,0.474871463298124,0.529516807157986,12.2679998774215,0.382468777853891,12.3109274999943,0.115859039802354,-29.7779695240766,12.4413711746805,1.07437362987674,0.614268373307897
cond,P_noDiv,0.474865105332808,0.529512747537476,12.2677212315464,0.370693957147596,12.3209878577171,0.115837582026525,-29.7661209299622,12.4584276547437,1.07148632751664,0.61329496263672
cond,P_noLow,0.475054201814958,0.529554891815628,12.2670520134856,0.23183685307633,12.3123170007766,0.116992134358495,-29.6299961027855,12.5283386682471,1.06656686176751,0.607488044435038
dev,C0,0.491399931752798,0.526126892789367,12.8343786429205,-10.17298897133,15.9120216262835,0.251963416085339,-17.1113440382796,13.2605499008586,1.00124412697114,0.583429307774914
dev,G12,0.484177005262192,0.524760022592705,12.8162852155606,0.897618847884997,13.5683738915927,0.204363973115262,-27.7280686767461,13.1673056029958,1.02943302121057,0.593115190233008
dev,L_last_n20,0.483482988087413,0.524781987375261,12.8167753492527,1.51503854390878,13.5950164765201,0.198733381589376,-28.3163006516149,13.0337513823181,1.06367823677324,0.607694488160567
dev,P_noDiv,0.48345975229725,0.524744452288243,12.8155495988589,1.51910671157788,13.5784282879936,0.198808737029571,-28.3211286443917,13.047116549022,1.06002723055922,0.606610535062118
dev,P_noLow,0.483494759165164,0.524776799910816,12.8192314536651,1.25407315516641,13.6052402959478,0.198862078943801,-28.0605615244977,13.0962241106235,1.04980180775595,0.600638155703844
