split,arm,slice,level,n,logloss,mae
cond,C0,games played,0,272,0.451847445365247,12.7562050194925
cond,FLAT_on_L_last_n20,games played,0,272,0.455956838726918,12.8241205747802
cond,G12,games played,0,272,0.45125215877538,12.7631456339577
cond,L_last_n20,games played,0,272,0.451008417526992,12.7628795307751
cond,S4_on_G12,games played,0,272,0.451934935318415,12.7604984427141
cond,S4_on_L_last_n20,games played,0,272,0.451966262076553,12.7648836499608
cond,SR_on_L_last_n20,games played,0,272,0.450885830618677,12.7607637820557
cond,C0,games played,1,213,0.480595232257627,11.9444746269021
cond,FLAT_on_L_last_n20,games played,1,213,0.483610423694544,12.0257698937927
cond,G12,games played,1,213,0.481851034261622,12.0075021137784
cond,L_last_n20,games played,1,213,0.482358490792842,12.0005646888223
cond,S4_on_G12,games played,1,213,0.482516383939211,12.0055242180659
cond,S4_on_L_last_n20,games played,1,213,0.483003125583463,12.005593898409
cond,SR_on_L_last_n20,games played,1,213,0.482362750485946,12.0020546963779
cond,C0,games played,2-3,385,0.509767413976832,11.4213437605861
cond,FLAT_on_L_last_n20,games played,2-3,385,0.514090415900585,11.5211766585654
cond,G12,games played,2-3,385,0.508783287700198,11.3960524622619
cond,L_last_n20,games played,2-3,385,0.508420120928494,11.3957262637
cond,S4_on_G12,games played,2-3,385,0.510683660623588,11.4006792712481
cond,S4_on_L_last_n20,games played,2-3,385,0.510497038898976,11.398299759996
cond,SR_on_L_last_n20,games played,2-3,385,0.508457736760249,11.3960821161515
cond,C0,games played,4-6,601,0.56148491239377,12.7967511768859
cond,FLAT_on_L_last_n20,games played,4-6,601,0.563637647038794,12.917893217768
cond,G12,games played,4-6,601,0.560757031104794,12.790338984563
cond,L_last_n20,games played,4-6,601,0.560424648099744,12.7931279228398
cond,S4_on_G12,games played,4-6,601,0.561117518781197,12.8225407884902
cond,S4_on_L_last_n20,games played,4-6,601,0.560875878590427,12.8237444876441
cond,SR_on_L_last_n20,games played,4-6,601,0.560440418006686,12.7928741433608
cond,C0,games played,7+,927,0.553310657040746,12.2015811468115
cond,FLAT_on_L_last_n20,games played,7+,927,0.552632005035434,12.1733073633476
cond,G12,games played,7+,927,0.552276900627319,12.2014105243631
cond,L_last_n20,games played,7+,927,0.552111861265606,12.2060579307612
cond,S4_on_G12,games played,7+,927,0.55215827889701,12.1876470033365
cond,S4_on_L_last_n20,games played,7+,927,0.551974666018803,12.1900710803856
cond,SR_on_L_last_n20,games played,7+,927,0.552147703090245,12.2070753378105
