family,picks,honest_J,honest_fbsfbs_ll,honest_fbsfcs_bias,honest_fbsfcs_mae,selected_all_dev,dJ_vs_C0,dFBSFBS_vs_C0,fcsfcs_mae_sel,fcsfcs_slope_sel,eligible
C0,"",0.491399931752799,0.526126892789367,-10.17298897133,15.9120216262835,C0,0,0,13.2605499008586,1.00124412697114,FALSE
G,2017:G12 2018:G10 2019:G10 2021:G14 2022:G12,0.485029901182466,0.524807910123733,0.551363655246883,13.6465360331204,G12,-0.00637003057033331,-0.00131898266563457,13.1673056029958,1.02943302121057,TRUE
L,2017:L_last_n20 2018:L_last_n20 2019:L_last_n20 2021:L_last_n20 2022:L_last_n20,0.483482988087412,0.524781987375261,1.51503854390878,13.5950164765201,L_last_n20,-0.00791694366538687,-0.00134490541410637,13.0337513823181,1.06367823677324,TRUE
M,2017:M10 2018:M08 2019:M08 2021:M12 2022:M10,0.485953640968108,0.526126892789367,-0.561580771686549,13.5907832344034,M10,-0.0054462907846915,0,,,FALSE
S_G,2017:S4_on_G12 2018:S4_on_G12 2019:S4_on_G12 2021:S2_on_G12 2022:S4_on_G12,0.483870975818566,0.524660363297547,1.38940758984572,13.7017492550981,S4_on_G12,-0.00752895593423314,-0.00146652949181991,13.5904721156989,1.28192687233738,FALSE
S_L,2017:S4_on_L_last_n20 2018:S2_on_L_last_n20 2019:S4_on_L_last_n20 2021:S2_on_L_last_n20 2022:S4_on_L_last_n20,0.483380269922155,0.524792527834728,1.51629213077997,13.6967102195178,S4_on_L_last_n20,-0.00801966183064379,-0.00133436495463868,13.5401717760628,1.29518483979935,FALSE
