split,arm,slice,level,n,bias,mae
cond,S4_on_L_last_n20,game,later,212,0.661640558126934,12.6357610528846
cond,SR_on_L_last_n20,game,later,212,-0.0591735943286455,12.4131809098947
cond,M10,game,later,212,-1.31377108072949,12.5127136459991
dev,C0,FCS strength (C0 quintile),FCS Q2,112,-12.2077016872596,16.9787627098535
dev,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q2,112,-4.87407302148356,13.7660757105819
dev,G12,FCS strength (C0 quintile),FCS Q2,112,-1.10410617911922,13.164535199519
dev,L_last_n20,FCS strength (C0 quintile),FCS Q2,112,-1.21732463600754,13.3832305128559
dev,S4_on_G12,FCS strength (C0 quintile),FCS Q2,112,-1.28233093197007,13.2598370101707
dev,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q2,112,-1.88263738217059,13.4819428837918
dev,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q2,112,-1.64014003172822,13.3753016102345
dev,M10,FCS strength (C0 quintile),FCS Q2,112,-2.20770168725964,13.3390703542308
dev,C0,FCS strength (C0 quintile),FCS Q5,113,-9.22416548625039,14.9643994676979
dev,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q5,113,13.1074813521188,18.7612159382851
dev,G12,FCS strength (C0 quintile),FCS Q5,113,2.03416775449665,14.0433075793824
dev,L_last_n20,FCS strength (C0 quintile),FCS Q5,113,3.12996542985878,14.3150231058307
dev,S4_on_G12,FCS strength (C0 quintile),FCS Q5,113,3.92860357992786,14.642644880364
dev,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q5,113,4.43530771554268,14.8995254366306
dev,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q5,113,2.56469978460727,14.229329404591
dev,M10,FCS strength (C0 quintile),FCS Q5,113,0.77583451374961,13.7050415559425
dev,C0,FCS strength (C0 quintile),FCS Q3,112,-9.54920983191407,16.6109530414538
dev,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q3,112,1.51816310175747,14.0499771364774
dev,G12,FCS strength (C0 quintile),FCS Q3,112,1.89700783962576,14.2679370430145
dev,L_last_n20,FCS strength (C0 quintile),FCS Q3,112,2.04576972605367,13.7928168439882
dev,S4_on_G12,FCS strength (C0 quintile),FCS Q3,112,2.54633108700643,14.1010615341799
dev,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q3,112,2.22268370488575,13.7123881444572
dev,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q3,112,1.63701957592961,13.8180696360421
dev,M10,FCS strength (C0 quintile),FCS Q3,112,0.450790168085931,14.2068102154843
dev,C0,FCS strength (C0 quintile),FCS Q4,112,-9.62481323688361,15.4296334333925
dev,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q4,112,5.64301891498757,13.7538919139232
dev,G12,FCS strength (C0 quintile),FCS Q4,112,1.56276516977377,13.0907880092669
dev,L_last_n20,FCS strength (C0 quintile),FCS Q4,112,2.60899926709936,13.1964113710963
dev,S4_on_G12,FCS strength (C0 quintile),FCS Q4,112,2.90204449547491,13.4227739234088
dev,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q4,112,3.40739424483311,13.4642093807759
dev,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q4,112,2.06693477963206,13.1583861716888
dev,M10,FCS strength (C0 quintile),FCS Q4,112,0.375186763116393,12.8944534404123
dev,C0,FCS strength (C0 quintile),FCS Q1,112,-10.2675262526021,15.58482039115
dev,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q1,112,-10.1193440992269,15.7546726821869
dev,G12,FCS strength (C0 quintile),FCS Q1,112,0.0881118965532782,13.2710611474254
dev,L_last_n20,FCS strength (C0 quintile),FCS Q1,112,0.993363942486507,13.2811719182107
dev,S4_on_G12,FCS strength (C0 quintile),FCS Q1,112,-1.07629947607427,13.209507261727
dev,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q1,112,-0.708047513132864,13.1541766811114
dev,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q1,112,0.289341415066517,13.2536316014995
dev,M10,FCS strength (C0 quintile),FCS Q1,112,-0.26752625260214,13.0579406108957
cond,C0,FCS strength (C0 quintile),FCS Q4,73,-10.5694926733613,15.5681699184933
cond,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q4,73,5.11465528574169,13.1891316777644
cond,G12,FCS strength (C0 quintile),FCS Q4,73,0.764765323579294,12.6486461213382
cond,L_last_n20,FCS strength (C0 quintile),FCS Q4,73,1.58646411001139,12.3349913052455
cond,S4_on_G12,FCS strength (C0 quintile),FCS Q4,73,1.46193910380486,12.82342298413
cond,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q4,73,2.00735238906818,12.7299080163642
cond,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q4,73,1.2220393540073,12.4352387761067
cond,M10,FCS strength (C0 quintile),FCS Q4,73,-0.569492673361321,12.6519820057366
cond,C0,FCS strength (C0 quintile),FCS Q2,73,-11.7222458097696,16.2114256483593
cond,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q2,73,-3.98605544883613,13.4879818888857
cond,G12,FCS strength (C0 quintile),FCS Q2,73,-0.755372424599377,12.8786706823047
cond,L_last_n20,FCS strength (C0 quintile),FCS Q2,73,0.324528647405536,13.0497960820265
cond,S4_on_G12,FCS strength (C0 quintile),FCS Q2,73,-0.965082862569784,13.1184509850278
cond,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q2,73,-0.124289839310005,13.2287641883629
cond,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q2,73,-0.211563704454883,13.0361542882992
cond,M10,FCS strength (C0 quintile),FCS Q2,73,-1.72224580976962,12.9676508998035
cond,C0,FCS strength (C0 quintile),FCS Q3,73,-13.4119327801806,16.6250909570994
cond,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q3,73,-1.8434497456135,13.1391644920007
cond,G12,FCS strength (C0 quintile),FCS Q3,73,-2.20647251807764,12.8197252611261
cond,L_last_n20,FCS strength (C0 quintile),FCS Q3,73,-1.2587550161869,12.5744437216841
cond,S4_on_G12,FCS strength (C0 quintile),FCS Q3,73,-1.8381901293294,12.5689155403116
cond,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q3,73,-1.10793851747462,12.520391747957
cond,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q3,73,-1.62342179825317,12.6450523766428
cond,M10,FCS strength (C0 quintile),FCS Q3,73,-3.41193278018061,12.9175411329266
cond,C0,FCS strength (C0 quintile),FCS Q5,73,-13.428108182927,16.1693199817368
cond,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q5,73,8.61787131343006,14.9590841662976
cond,G12,FCS strength (C0 quintile),FCS Q5,73,-1.96930357749057,12.3762941327679
cond,L_last_n20,FCS strength (C0 quintile),FCS Q5,73,-0.828464550393953,12.4661408829628
cond,S4_on_G12,FCS strength (C0 quintile),FCS Q5,73,-0.523210964896192,12.7916766904785
cond,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q5,73,0.0772570313752696,12.8787807766122
cond,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q5,73,-1.21544306618809,12.4816762617057
cond,M10,FCS strength (C0 quintile),FCS Q5,73,-3.42810818292697,12.452335065476
cond,C0,FCS strength (C0 quintile),FCS Q1,73,-9.53724663355729,13.0691553222682
cond,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q1,73,-7.79342485315702,12.7670037993847
cond,G12,FCS strength (C0 quintile),FCS Q1,73,0.932330572176706,10.8821470141376
cond,L_last_n20,FCS strength (C0 quintile),FCS Q1,73,2.08857069843338,11.1292655080528
cond,S4_on_G12,FCS strength (C0 quintile),FCS Q1,73,-0.189744569509374,10.8326958924432
cond,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q1,73,0.635559442070568,10.8663603434518
cond,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q1,73,1.42321791950893,10.9496837392823
cond,M10,FCS strength (C0 quintile),FCS Q1,73,0.462753366442707,10.8568079244942
dev,C0,FBS strength (C0 quintile),FBS Q4,112,-10.2471266352625,15.7863261648731
dev,FLAT_on_L_last_n20,FBS strength (C0 quintile),FBS Q4,112,2.1074799967756,14.2058458923941
dev,G12,FBS strength (C0 quintile),FBS Q4,112,0.871893168074434,13.0851500326796
dev,L_last_n20,FBS strength (C0 quintile),FBS Q4,112,1.14563803662235,13.2505138389722
dev,S4_on_G12,FBS strength (C0 quintile),FBS Q4,112,1.43759613052454,13.2574763281237
dev,S4_on_L_last_n20,FBS strength (C0 quintile),FBS Q4,112,1.25878838726102,13.3334774744095
dev,SR_on_L_last_n20,FBS strength (C0 quintile),FBS Q4,112,0.641738760826404,13.2153998145894
dev,M10,FBS strength (C0 quintile),FBS Q4,112,-0.247126635262529,13.1406599507223
dev,C0,FBS strength (C0 quintile),FBS Q3,112,-10.9221521253158,15.5603932056679
dev,FLAT_on_L_last_n20,FBS strength (C0 quintile),FBS Q3,112,-0.061873426490705,14.9202333690567
dev,G12,FBS strength (C0 quintile),FBS Q3,112,0.267558708262232,13.3338161076959
dev,L_last_n20,FBS strength (C0 quintile),FBS Q3,112,0.552295023785477,13.7312835330547
