season,beta,beta_ok,beta_rows,kappa_fum,mu_fcs_off,mu_fcs_def,rho_off,rho_def,v_fcs_off,v_fcs_def,omega
2016,0.00537865079588875,TRUE,2984,3.25099548343932,-9.74274401487103,8.64682084102201,0.61819512594792,0.629784211022678,36.3057204157439,31.3328038022769,0
2017,0.00533974238763237,TRUE,4468,2.9444188839236,-9.68351156314487,8.53197824030323,0.640268021192838,0.63018470564682,33.3385020747614,33.7805468352252,0.5
2018,0.00523187837875461,TRUE,6002,2.75543977523432,-9.55985342413678,8.28788331562708,0.637405136756875,0.642418607239504,33.3840307033449,33.603421662677,0.25
2019,0.00530978742789303,TRUE,7518,2.19901707811958,-9.58584096629927,8.56069290555093,0.626934593801219,0.646827920851195,33.7496700233007,35.2962817712365,0.25
2021,0.00535713776030895,TRUE,9052,2.16137741554699,-9.4859291067151,8.73534933626133,0.608702719760875,0.638233529278817,32.92621258002,34.8176510842754,0.25
2022,0.00543825835366851,TRUE,10474,1.99096302715027,-9.41466875509423,8.74646083912908,0.60800713009397,0.638338312436882,32.9259664739036,34.8176917259734,0.25
2023,0.0054879021404831,TRUE,11940,2.13641792372212,-9.4490622005728,8.89123952280085,0.611838161018788,0.626438713545484,33.7087650334857,33.6734229719775,0.25
