season,scale,b_off,b_def,lambda0,H
2016,1,0,0,4,2.53057608649647
2017,1.04763365588702,0.14689497253303,-0.262562782118884,3,3.93667861453514
2018,1.0639927548448,0.151033316868402,-0.326508375060339,3,3.30746871478844
2019,1.1187602583004,0.268871562316438,-0.420188707118225,4,3.37464815248115
2021,1.16517994317032,0.297056315230531,-0.226046733140928,4,3.47621739080085
2022,1.14070154475741,0.171932215683041,-0.127440372378475,4,3.27755265439195
2023,1.13374370380568,0.119067570155545,-0.0325219196595893,4,3.06853968902663
