season,games,c1_games,max_abs_diff,pass
2017,776,776,5.32907051820075e-14,TRUE
2018,772,772,5.32907051820075e-14,TRUE
2019,774,774,5.32907051820075e-14,TRUE
2021,770,770,5.6843418860808e-14,TRUE
2022,776,776,5.15143483426073e-14,TRUE
