season,sigma2_row,q,q_qb
2016,115.238743782829,0,0
2017,118.73704878719,2,4
2018,119.004433898235,1,0
2019,118.874650599483,0.5,0
2021,117.17535239388,0.5,0
2022,116.696587694032,0.5,0
2023,115.728743410943,0.5,0
