season,week,as_of,team_id,fbs,rank,power,off,def,games_played,model_version,design_hash,feature_hash,reconstructed_at
2026,1,2026-09-07T00:00:00Z,264,TRUE,22,12.8354277620603,6.47166245251774,-6.36376530954253,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2306,TRUE,23,12.4905132919477,9.68884941766546,-2.80166387428223,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,258,TRUE,24,11.9056059216091,4.09463768377206,-7.81096823783704,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,252,TRUE,25,11.8729891541288,4.33415086822492,-7.53883828590385,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,158,TRUE,26,11.5723823518399,6.7574448613358,-4.81493749050407,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,130,TRUE,27,11.1419648083653,3.71156470845052,-7.43040009991479,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,142,TRUE,28,11.0093324997718,5.428033733344,-5.58129876642777,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,97,TRUE,29,10.7574380633579,5.98239511073269,-4.77504295262523,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,221,TRUE,30,10.2537029937458,6.37356417014435,-3.88013882360145,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2305,TRUE,31,9.62371037848156,5.99728362851399,-3.62642674996757,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
