"season","rank","school","conference"
2024,9,"Boise State","Mountain West"
2024,10,"SMU","ACC"
2024,11,"Alabama","SEC"
2024,12,"Arizona State","Big 12"
2024,13,"Miami","ACC"
2024,14,"Ole Miss","SEC"
2024,15,"South Carolina","SEC"
2024,16,"Clemson","ACC"
2024,17,"BYU","Big 12"
2024,18,"Iowa State","Big 12"
2024,19,"Missouri","SEC"
2024,20,"Illinois","Big Ten"
2024,21,"Syracuse","ACC"
2024,22,"Army","American Athletic"
2024,23,"Colorado","Big 12"
2024,24,"UNLV","Mountain West"
2024,25,"Memphis","American Athletic"
2025,1,"Indiana","Big Ten"
2025,2,"Ohio State","Big Ten"
2025,3,"Georgia","SEC"
2025,4,"Texas Tech","Big 12"
2025,5,"Oregon","Big Ten"
2025,6,"Ole Miss","SEC"
2025,7,"Texas A&M","SEC"
2025,8,"Oklahoma","SEC"
2025,9,"Alabama","SEC"
2025,10,"Miami","ACC"
2025,11,"Notre Dame","FBS Independents"
2025,12,"BYU","Big 12"
2025,13,"Texas","SEC"
2025,14,"Vanderbilt","SEC"
2025,15,"Utah","Big 12"
2025,16,"USC","Big Ten"
2025,17,"Arizona","Big 12"
2025,18,"Michigan","Big Ten"
2025,19,"Virginia","ACC"
2025,20,"Tulane","American Athletic"
2025,21,"Houston","Big 12"
2025,22,"Georgia Tech","ACC"
2025,23,"Iowa","Big Ten"
2025,24,"James Madison","Sun Belt"
2025,25,"North Texas","American Athletic"
