split,arm,n,mean_abs_change,kendall_top25
cond,A,8330,0.827393457675172,0.0626375661375661
cond,A0,8330,0.823294013507426,0.0646746031746032
cond,B,8330,0.826516245793452,0.0609603174603175
dev,A,13150,0.967920232044656,0.0792555555555556
dev,A0,13150,0.956780710702622,0.0790349206349206
dev,B,13150,0.966779279239847,0.0805269841269841
