split,model,n,p4_vs_g5_underprediction,lo95,hi95
dev,A,467,4.57040082089797,2.73546220257629,6.25605406715345
dev,A0,467,4.67561184677123,2.84313522111068,6.33886324157664
dev,B,467,4.59713380232134,2.76786201461884,6.28348421874397
cond,A,318,0.484793513525333,-1.24327649290502,1.87940833433949
cond,A0,318,0.508370682087767,-1.19529928506757,1.90674506335612
cond,B,318,0.448809878188835,-1.26915644138113,1.83692701157186
