split,type,offense,rows,rows_changed_A0,mean_dSR_A0,mean_abs_dSR_A0,rows_changed_B,mean_dSR_B,mean_abs_dSR_B
cond,FBS-FBS,FBS offense,4570,1425,0.00067302693442579,0.0110179887705535,356,-5.69322431407156e-06,0.00202104400692965
cond,FBS-FCS,FBS offense,356,240,-0.0115510083791515,0.0281843941337643,42,-0.000952998471157993,0.00305302487515341
cond,FBS-FCS,FCS offense,356,260,0.00767422092534147,0.0310271405312338,53,-0.000982095453223216,0.00375123119338721
dev,FBS-FBS,FBS offense,7472,2568,-9.2194707298165e-05,0.0116689541423731,717,4.82358640075779e-05,0.00234307388372781
dev,FBS-FCS,FBS offense,527,354,-0.0111034823414651,0.0270100177328876,77,-9.42333816407125e-05,0.00494028151857727
dev,FBS-FCS,FCS offense,527,365,0.0120490979077393,0.0310110065096847,80,0.000400996115143911,0.0038392206160574
