arm,fbs_rating_sd_diff,fbs_rating_maxabs,pred_sd_diff,pred_maxabs,pred_mean_abs
A0,0.474253578803886,3.6239948220816,0.705824042892548,4.76510112284718,0.52812066410154
B,0.161325037552621,2.46808440201833,0.24782800536563,2.59725476888767,0.162387835066208
A0rows,0.45058523683959,3.32265418479302,0.679541019480016,4.78466416213921,0.489988084764947
Brows,0.151325296826621,2.48368561035504,0.234939816778476,2.64369622708269,0.140696268945259
C1_A0,,,0.224919026027483,1.75002680018254,0.158893719956576
C1_B,,,0.0830916624319048,0.702162521575497,0.0562680183082067
