split,fcs_gp,A,A0,A0rows,B,Brows
cond,1,-10.0181482381933,-9.975148630733,-10.0234423333666,-10.042771118363,-10.0386848063316
cond,2-3,-14.2368707147018,-14.2994560769844,-14.2748741675475,-14.2377545401752,-14.2347917937293
cond,4+,-7.73081724023897,-7.67164791063954,-7.67234822482713,-7.71068679001932,-7.72341365427737
dev,1,-12.0180725912717,-12.0454698252084,-12.0247826757886,-12.0163661102997,-12.0195852500309
dev,2-3,-10.6204349410451,-10.5758406351412,-10.6056076639468,-10.6436252606993,-10.6428442647971
dev,4+,-7.61856587502299,-7.73821245656851,-7.74981917932141,-7.64974189043288,-7.65036857464899
