split,arm,n_fbsfcs,slope,se,cor_fbsfcs,n_fcsfcs,bias,mae,calib_slope,cor_fcsfcs
cond,A,212,0.923853171905015,0.13340324141777,0.4311823235594,1878,-0.0746370808551325,12.7438431171802,1.0202882151093,0.605388711279074
cond,A0,212,0.917676528745983,0.134055467952358,0.427126120834574,1878,-0.07117751616909,12.7313288673975,1.0215424851483,0.607436186733134
cond,A0rows,212,0.914634741435932,0.134121947667628,0.425794731952014,1878,-0.072184489608078,12.7313900250875,1.02190852364614,0.607433377125099
cond,B,212,0.922313294588126,0.133559367631681,0.430186818239462,1878,-0.0745892994750233,12.7428783748797,1.0213003427667,0.605566981255547
cond,Brows,212,0.922942994174677,0.133484739322205,0.430622153240061,1878,-0.0747269424373926,12.7433289904916,1.02112362122259,0.605523897233155
dev,A,335,1.10313146873285,0.104085269408587,0.502226376702833,2958,0.728740265324382,13.2605499008586,1.00124412697114,0.600833194480199
dev,A0,335,1.09974434362478,0.104009686897228,0.501344553328537,2958,0.726159501865723,13.2699402704523,0.998544209568622,0.60050593395659
dev,A0rows,335,1.10122331179058,0.103999162394138,0.501887050775332,2958,0.726943849193877,13.2689776828246,0.998954554679182,0.600555638732189
dev,B,335,1.10694040741696,0.104366417902904,0.50250783882817,2958,0.729165548607296,13.2605365778629,1.00254543239627,0.601045413394497
dev,Brows,335,1.10750711541835,0.104392433343843,0.502606474893279,2958,0.729215762899818,13.2606770057053,1.00250918861756,0.601046490766726
