split,slice_type,slice,comparison,A_logloss,A_mae,metric,delta,lo95,hi95,n
dev,season,2017,A0 - A,0.513529042022128,12.9338958782658,logloss,-0.000333526203283715,-0.00593075057100764,0.00391580759635428,776
dev,season,2017,A0 - A,0.513529042022128,12.9338958782658,brier,6.64610372141179e-05,-0.00194438462511624,0.00165355287935847,776
dev,season,2017,A0 - A,0.513529042022128,12.9338958782658,mae,0.0291321791552646,-0.0863799097769924,0.13293510590872,776
dev,season,2017,A0 - A,0.513529042022128,12.9338958782658,rmse,-0.0018502716694222,-0.13021521092834,0.11089318006097,776
dev,season,2017,B - A,0.513529042022128,12.9338958782658,logloss,0.000586165037663334,-0.000695621192557071,0.00196498792706109,776
dev,season,2017,B - A,0.513529042022128,12.9338958782658,brier,0.000192387656050764,-0.000313157959375066,0.000700630199619224,776
dev,season,2017,B - A,0.513529042022128,12.9338958782658,mae,0.0130278889599737,-0.0159523625020442,0.0456618910670035,776
dev,season,2017,B - A,0.513529042022128,12.9338958782658,rmse,0.0273088282445571,-0.00753847162620929,0.0647679314797577,776
dev,season,2018,A0 - A,0.513397547280951,13.1584998957871,logloss,-0.00117221685901632,-0.00342035176742157,0.000830633112942805,772
dev,season,2018,A0 - A,0.513397547280951,13.1584998957871,brier,-0.000599323448076695,-0.00158687762818409,0.000287881188187486,772
dev,season,2018,A0 - A,0.513397547280951,13.1584998957871,mae,-0.0216615494624057,-0.0653509907861896,0.0297435313693257,772
dev,season,2018,A0 - A,0.513397547280951,13.1584998957871,rmse,-0.0350133464707483,-0.0747800810887495,0.00148875850072057,772
dev,season,2018,B - A,0.513397547280951,13.1584998957871,logloss,-0.000199640165649599,-0.000756284179277486,0.00035413582107594,772
dev,season,2018,B - A,0.513397547280951,13.1584998957871,brier,-9.839439396413e-05,-0.00034863350919668,0.000161807428741651,772
dev,season,2018,B - A,0.513397547280951,13.1584998957871,mae,-0.00733024929015686,-0.0232541120116815,0.00904286862700108,772
dev,season,2018,B - A,0.513397547280951,13.1584998957871,rmse,-0.00168533320183428,-0.0135435339246265,0.0106071001679599,772
dev,season,2019,A0 - A,0.492895693847019,12.4146260836386,logloss,-8.82654403999419e-05,-0.00122221331638345,0.00124629632074857,774
dev,season,2019,A0 - A,0.492895693847019,12.4146260836386,brier,-2.85059942287307e-05,-0.000533221688171048,0.000528550371982953,774
dev,season,2019,A0 - A,0.492895693847019,12.4146260836386,mae,-0.0123210394603169,-0.0461665741037183,0.0239688537324668,774
dev,season,2019,A0 - A,0.492895693847019,12.4146260836386,rmse,-0.0206214312801496,-0.0605917957662856,0.0209922408647804,774
dev,season,2019,B - A,0.492895693847019,12.4146260836386,logloss,-6.99727354814741e-05,-0.000809870182844733,0.00076364487236286,774
dev,season,2019,B - A,0.492895693847019,12.4146260836386,brier,-1.8239153505061e-05,-0.000338849870833016,0.000347416051424426,774
dev,season,2019,B - A,0.492895693847019,12.4146260836386,mae,-0.00286576755245854,-0.0144841348686821,0.00816973650570882,774
dev,season,2019,B - A,0.492895693847019,12.4146260836386,rmse,-0.00883500976182283,-0.0268700446405167,0.00780265675729384,774
dev,season,2021,A0 - A,0.548173431295551,13.1931078045276,logloss,-0.00120378828111682,-0.00371158139320667,0.00127264693738281,770
dev,season,2021,A0 - A,0.548173431295551,13.1931078045276,brier,-0.000414616726534208,-0.00131583938831858,0.000534415638683217,770
dev,season,2021,A0 - A,0.548173431295551,13.1931078045276,mae,-0.0159760714723244,-0.0592646766817476,0.028312954821997,770
dev,season,2021,A0 - A,0.548173431295551,13.1931078045276,rmse,-0.0236931814688681,-0.0605787079461911,0.0153215713929722,770
dev,season,2021,B - A,0.548173431295551,13.1931078045276,logloss,0.000129818701361947,-0.000834370710114818,0.00110207376895061,770
dev,season,2021,B - A,0.548173431295551,13.1931078045276,brier,4.67422383309806e-06,-0.000390606344066815,0.000414249929090346,770
dev,season,2021,B - A,0.548173431295551,13.1931078045276,mae,0.00461371278962788,-0.0146212700575516,0.0220646137769277,770
dev,season,2021,B - A,0.548173431295551,13.1931078045276,rmse,0.00509805487336124,-0.0185944893167679,0.0269290082204095,770
dev,season,2022,A0 - A,0.562657947767693,12.4751261230821,logloss,0.00189928498907446,-0.00105695177341946,0.0043208620829281,776
