fold,prior_train_seasons,prior_max_train_season,feature_regimes,feature_regime_min_rows,feature_regime_lambdas,teams_on_base_prior_off,teams_on_base_prior_def,calibration_seasons,calibration_games,prior_scale,hfa,calibration_max_season,weekly_snapshots,max_training_game_available_before_cutoff
2017,2014-2016,2016,7,243,0.1,0,73,2016,760,1.03836869303611,3.93667861453514,2016,21,TRUE
2018,2014-2017,2017,6,367,0.1,0,58,"2016,2017",1536,1.04132380545783,3.30746871478844,2017,21,TRUE
2019,2014-2018,2018,6,489,0.1,0,42,"2016,2017,2018",2308,1.07416956094032,3.37464815248115,2018,22,TRUE
2021,2014-2019,2020,8,167,0.1/1,0,0,"2016,2017,2018,2019",3082,1.12439768392885,3.47621739080085,2019,21,TRUE
2022,2014-2021,2021,8,214,0.1/1,0,0,"2016,2017,2018,2019,2021",3852,1.10378627725033,3.27755265439195,2021,21,TRUE
