universe,model,p4g5_bias,lo95,hi95
dev,I,5.76844784484817,3.88518545412703,7.39846578862806
dev,C2f,4.57040082089314,2.6424702568234,6.27487286130717
dev,C,4.41968781921602,2.50328416041977,6.14466040771493
devK,K,5.02114864860001,2.62081276175845,7.13981344738568
cond,I,3.44132543039082,1.40929712592404,4.96696971939487
cond,C2f,0.484793513531425,-1.22881453222237,1.91822449078785
cond,C,0.338165532867354,-1.36290817102619,1.76273659437228
condK,K,2.85046851920991,0.758825953326482,4.46759296116421
