sigma_fixed,comparison,estimate,lo95,hi95,lo90,hi90,se,n,model_auc
14,C - I,-0.00618882451559246,-0.0124368161992131,-0.00021151867721565,-0.0113461783925842,-0.00116132564116637,0.00311875352118541,3868,
14,C - C2f,-0.00153679119313338,-0.00323955970792117,0.00012252598680835,-0.00298968681713784,-0.000149229394440157,0.000864538377792978,3868,
16,C - I,-0.00778528283274633,-0.0132898596926459,-0.00257098659167499,-0.012276319044918,-0.00339609332960971,0.00271841815424917,3868,
16,C - C2f,-0.00137937042925805,-0.00282244958227241,2.30925600961833e-05,-0.0026055136698343,-0.000210471452534501,0.000730040472384728,3868,
18,C - I,-0.00875935250780834,-0.0136615783708946,-0.00415567518926802,-0.0127386442720253,-0.00483439572440374,0.00241915868615202,3868,
18,C - C2f,-0.00126523945159502,-0.00251399001024812,-4.36610247700718e-05,-0.00232620947047831,-0.000245855482251801,0.000632777303878768,3868,
,AUC dev,,,,,,,,I 0.7981; C2f 0.8052; C 0.8062
,AUC cond,,,,,,,,I 0.7920; C2f 0.7968; C 0.7975
