season,final_level,mean_abs_change_from_cutoff4,anchor,gap_to_anchor
2017,-27.622349599018,0.144727962393465,-28.1798048094574,0.5574552104394
2018,-30.3487400490988,0.1233912810823,-27.467498259296,-2.8812417898028
2019,-28.9519453152656,0.0767940261504219,-29.7270247298007,0.775079414535099
2021,-26.9269576021457,0.134728796384695,-28.4116766361016,1.4847190339559
2022,-29.3349657466989,0.124209458102647,-27.0397707781776,-2.2951949685213
2023,-28.8214284967445,0.0880502970248358,-29.6117141816463,0.7902856849018
2024,-31.1826874327622,0.0867564256430216,-28.3028298078336,-2.8798576249286
2025,-32.5381153810876,0.0885188116590881,-30.4019233171762,-2.1361920639114
