universe,model,line,bucket,n,mean_c,lo95,hi95
dev,I,close,"[0,1)",715,0.198251748251747,-0.867648322215484,1.29487535360679
dev,I,close,"[1,2)",690,0.722826086956521,-0.389801610145837,1.80986088924388
dev,I,close,"[2,3)",627,0.362838915470497,-0.889871500602047,1.56688159906264
dev,I,close,"[3,5)",860,0.962500000000002,-0.0778954727629962,2.09041161894273
dev,I,close,"[5,7)",486,-0.986625514403292,-2.27675537149418,0.27288504774812
dev,I,close,>=7,490,-0.53826530612245,-1.97189292114695,0.944383883757765
dev,I,close,trend gamma,3868,-0.156165894036288,-0.345670805887247,0.0341720495901398
dev,I,open,"[0,1)",275,0.24181818181818,-1.27959171527199,1.88846233248823
dev,I,open,"[1,2)",268,1.75186567164179,-0.0494743917193158,3.66750221441903
dev,I,open,"[2,3)",254,0.53740157480315,-1.00938891637803,1.96402244024986
dev,I,open,"[3,5)",357,0.526610644257704,-0.714652203856749,1.79689329059903
dev,I,open,"[5,7)",177,1.07627118644068,-1.41097868487044,3.37762626262626
dev,I,open,>=7,208,-0.858173076923076,-2.9602887970022,1.29575755131669
dev,I,open,trend gamma,1539,-0.121747191111028,-0.423869773367017,0.186755752300844
dev,C2f,close,"[0,1)",840,-0.0931547619047605,-1.10239277058076,0.869783640722543
dev,C2f,close,"[1,2)",709,0.0842736248236894,-0.996481395391431,1.10828702919143
dev,C2f,close,"[2,3)",626,0.456869009584664,-0.919413081983806,1.7857213494575
dev,C2f,close,"[3,5)",878,-0.0774487471526183,-1.07694972744367,0.941173952957523
dev,C2f,close,"[5,7)",461,0.464208242950108,-0.868441704035874,1.85325360239345
dev,C2f,close,>=7,354,-0.949152542372884,-2.63593336275375,0.606776076981029
dev,C2f,close,trend gamma,3868,-0.0753518095376869,-0.27445332469963,0.117992516482994
dev,C2f,open,"[0,1)",344,0.667151162790697,-0.822331165854364,2.10221946958414
dev,C2f,open,"[1,2)",317,0.37223974763407,-1.10615203615693,1.89038656655844
dev,C2f,open,"[2,3)",239,-0.00418410041841065,-1.71603461945032,1.76521929824561
dev,C2f,open,"[3,5)",337,1.5,-0.112014774915744,3.04415799856528
dev,C2f,open,"[5,7)",172,0.130813953488373,-1.951691164361,2.11738292383993
dev,C2f,open,>=7,130,-1.73076923076923,-4.07987317149082,0.810818318318319
dev,C2f,open,trend gamma,1539,-0.174381775302972,-0.47661650966065,0.150304133583559
dev,C,close,"[0,1)",869,0.371116225546604,-0.631184434848617,1.37812468544026
dev,C,close,"[1,2)",700,-0.123928571428576,-1.25067161627509,0.966309325354657
dev,C,close,"[2,3)",593,0.0227655986509269,-1.50828937479318,1.49986874825926
dev,C,close,"[3,5)",907,0.330485115766262,-0.693175013502971,1.37830230347992
dev,C,close,"[5,7)",462,0.479437229437234,-0.839892655470813,1.88048316448882
dev,C,close,>=7,337,-0.878338278931752,-2.68011160714286,0.905778409090909
dev,C,close,trend gamma,3868,-0.0857678719157989,-0.298098277061033,0.128106730690997
dev,C,open,"[0,1)",332,1.30572289156627,-0.389205676181424,3.35159245590491
dev,C,open,"[1,2)",324,-0.120370370370369,-1.55092085564833,1.16905291624847
dev,C,open,"[2,3)",256,0.515625,-1.10587603503038,2.25552366530497
dev,C,open,"[3,5)",319,1.61755485893417,-0.0574274342564148,3.21396582637551
dev,C,open,"[5,7)",179,-0.606145251396648,-2.44966638865721,1.26667670682731
dev,C,open,>=7,129,-1.27519379844961,-3.62602807632623,1.22891218585622
dev,C,open,trend gamma,1539,-0.212311543347634,-0.540611842749212,0.128926285469622
devK,K,close,"[0,1)",609,0.0254515599343235,-1.13877724983276,1.20099385470517
devK,K,close,"[1,2)",567,0.532627865961201,-0.927270700302214,1.91157579597008
devK,K,close,"[2,3)",494,0.00253036437246971,-1.35265480878093,1.29381874338741
devK,K,close,"[3,5)",700,0.820000000000004,-0.305189178024793,1.93443532592995
devK,K,close,"[5,7)",386,0.384715025906738,-1.14342572759418,1.8181053008596
devK,K,close,>=7,336,-0.54017857142857,-2.59397049689441,1.4589953647074
devK,K,close,trend gamma,3092,-0.102704478595224,-0.323802528565567,0.12724878327329
devK,K,open,"[0,1)",276,0.081521739130433,-2.56701499208912,2.62902381585164
devK,K,open,"[1,2)",272,1.23897058823529,-0.572389428594852,2.95303442028986
devK,K,open,"[2,3)",259,0.801158301158302,-0.940101398601398,2.43654355803207
devK,K,open,"[3,5)",347,1.18587896253602,-0.401771270475159,2.77963685051208
devK,K,open,"[5,7)",184,0.152173913043478,-2.03020966750346,2.12620029320139
devK,K,open,>=7,201,-0.81094527363184,-3.18729323308271,1.57586363636364
devK,K,open,trend gamma,1539,-0.102079727348866,-0.434537913485165,0.225537828144717
cond,I,close,"[0,1)",460,0.111413043478265,-1.18368924977345,1.43155643456775
cond,I,close,"[1,2)",456,1.08442982456141,-0.473423100974197,2.7679137630662
cond,I,close,"[2,3)",397,0.401133501259447,-1.06770616701328,1.78526655238309
cond,I,close,"[3,5)",555,1.07432432432433,-0.179178046218487,2.36147595038539
cond,I,close,"[5,7)",270,0.279629629629633,-1.31226264990532,1.95234178878499
cond,I,close,>=7,260,-0.954807692307691,-3.14830030880082,1.14040981359649
cond,I,close,trend gamma,2398,-0.131550600416838,-0.395603870873866,0.12584425834735
cond,I,open,"[0,1)",504,0.582341269841272,-0.923989395080321,2.11583487307939
cond,I,open,"[1,2)",462,-0.180735930735935,-1.51041195727692,1.15041704487975
cond,I,open,"[2,3)",378,-0.349206349206346,-1.86254299043488,1.06814566059597
cond,I,open,"[3,5)",573,0.793193717277486,-0.552628222682833,2.1500839941118
cond,I,open,"[5,7)",257,0.131322957198442,-1.45933494958988,1.78193299809611
cond,I,open,>=7,224,0.965401785714285,-1.46521005210595,3.43666504988914
cond,I,open,trend gamma,2398,0.0831251835814784,-0.163713609753727,0.334069626223727
cond,C2f,close,"[0,1)",517,0.380077369439067,-0.966599529184699,1.71687272920532
cond,C2f,close,"[1,2)",509,1.55500982318271,0.407690619609088,2.74022689864017
cond,C2f,close,"[2,3)",408,0.146446078431373,-1.36007270520301,1.74530571278136
cond,C2f,close,"[3,5)",538,1.64776951672862,0.420842017035158,2.95830139404185
cond,C2f,close,"[5,7)",257,0.480544747081718,-1.58035063652327,2.71671553463905
cond,C2f,close,>=7,169,2.41568047337278,-0.208676628721865,4.84859996025437
cond,C2f,close,trend gamma,2398,0.112963604807255,-0.211265324419584,0.439179072805708
cond,C2f,open,"[0,1)",558,1.11827956989247,0.224737578109252,2.07869858784364
cond,C2f,open,"[1,2)",463,0.517278617710581,-0.985134004779788,1.9790035977536
cond,C2f,open,"[2,3)",443,-0.238713318284424,-1.6340617013745,1.14186262925136
cond,C2f,open,"[3,5)",543,0.901473296500922,-0.434479363207547,2.23468351483957
cond,C2f,open,"[5,7)",229,1.73689956331877,-0.595235129830917,4.03803929962396
cond,C2f,open,>=7,162,5.19444444444445,2.75856705351386,7.51304499072356
cond,C2f,open,trend gamma,2398,0.388973303496715,0.101780901781126,0.655213592861754
cond,C,close,"[0,1)",535,-0.0397196261682265,-1.26953078408479,1.14089352190588
cond,C,close,"[1,2)",486,2.23199588477366,0.978555226462571,3.52032326427063
cond,C,close,"[2,3)",424,1.31191037735849,0.155518867924529,2.60546471600689
cond,C,close,"[3,5)",538,0.834572490706328,-0.570727709790209,2.32739581974697
cond,C,close,"[5,7)",265,1.27452830188679,-0.409980538162125,3.03818170676907
cond,C,close,>=7,150,1.04333333333333,-1.57925957314744,3.78858267716536
cond,C,close,trend gamma,2398,0.0960084610791239,-0.209213961732069,0.40864833200486
cond,C,open,"[0,1)",585,0.469230769230774,-0.550106711329724,1.44464485600705
cond,C,open,"[1,2)",468,1.00320512820513,-0.272163254310345,2.3620525517918
cond,C,open,"[2,3)",426,0.332746478873238,-1.05417119565217,1.89657661933129
cond,C,open,"[3,5)",525,0.616190476190478,-0.732514918112115,1.98085031966761
cond,C,open,"[5,7)",235,1.34361702127659,-0.826092413130784,3.48918330231771
cond,C,open,>=7,159,5.44339622641509,2.6906749092559,8.13442743469988
cond,C,open,trend gamma,2398,0.428462494031685,0.162325418693308,0.681650073500583
