universe,model,line,n,a,b_M,b_M_lo95,b_M_hi95,b_m,b_m_lo95,b_m_hi95
dev,I,close,3868,-0.231991727027771,1.00271019686394,0.891371760551469,1.11003628102869,0.00924370020583771,-0.106659059702407,0.126080954888046
dev,C2f,close,3868,-0.210053720236921,1.02384543426294,0.904289260553277,1.14874184512822,-0.0145673282169856,-0.140568081081599,0.110887498561792
dev,C,close,3868,-0.22386830105617,1.00774858894411,0.888478476410217,1.13374494581599,0.00290413282957773,-0.124514639927244,0.129188871546112
devK,K,close,3092,-0.183946970816927,0.984673916018087,0.857336294693548,1.11106857799544,0.0153402464617445,-0.107764401037909,0.142908258334276
cond,I,close,2398,0.39328847600079,0.9842983174691,0.841195714825602,1.12794001527845,0.0346578176976922,-0.127408989312905,0.197290073596805
cond,C2f,close,2398,0.25060076810629,0.787666672143005,0.611085719537774,0.961478250951115,0.235026539893918,0.0625190624400202,0.413843706231045
cond,C,close,2398,0.240816772687658,0.78220393581395,0.605961378278343,0.960603607334603,0.239438529436407,0.0586700457528789,0.419578207690376
condK,K,close,2398,0.371596571536903,0.931126855862439,0.783030719052729,1.07748330158571,0.0868479256314024,-0.0649425641625598,0.23471501410526
