universe,model,n,mae,rmse,bias,calib_slope,spearman
dev,C2f,2958,13.2605499008586,16.869254029241,0.728740265324384,1.00124412697114,0.583429307774914
dev,C,2958,13.0337513823181,16.4853085885252,0.903815521547969,1.06367823677324,0.607694488160567
cond,C2f,1878,12.7438431171802,16.2643424640787,-0.0746370808551527,1.0202882151093,0.591030106939556
cond,C,1878,12.4413711746805,15.8973139449137,0.130558832629861,1.07437362987674,0.614268373307897
