universe,comparison,metric,J_C,J_C2f,estimate,lo95,hi95,lo90,hi90,se,n
dev,C - C2f,whole-system logloss,0.483482988597641,0.491399931599174,-0.00791694300153237,-0.0125074892109472,-0.00355198215383717,-0.011737520949764,-0.00423663873121441,0.00228817068333279,4429
cond,C - C2f,whole-system logloss,0.474871462642042,0.487817461285363,-0.0129459986433214,-0.0201237111868665,-0.00641682640801413,-0.0187680590336675,-0.00739205969430959,0.00349396561154429,2763
