universe,comparison,metric,estimate,lo95,hi95,lo90,hi90,se,n
dev,C - C2f,abs error,-2.31700514976334,-3.20367913783171,-1.4902398078788,-3.07111795138276,-1.61650323365293,0.434607806887483,561
dev,C - C2f,logloss,-0.0532300310905496,-0.0852789474012572,-0.0213540838027047,-0.0797101750091973,-0.0276289888019904,0.0160174311906062,561
dev,C,bias,1.51503854390878,0.11145584732855,3.08156658766837,0.322447458096062,2.79365736567564,0.755878378205471,561
dev,C first games,bias,2.68930196001519,-0.237820427476899,5.91171303381687,0.183168820565055,5.18022653660375,1.53092061790454,226
cond,C - C2f,abs error,-3.21770486559707,-4.10378601772979,-2.16726886937322,-3.93229889877384,-2.37311430079682,0.482784712976218,365
cond,C - C2f,logloss,-0.0921916187472644,-0.115639063577728,-0.0664615137583097,-0.111934940034329,-0.0705987750828781,0.0125339428679443,365
cond,C,bias,0.382468777853896,-1.08529945572657,2.05046553684035,-0.864360409326594,1.75727004160101,0.793379317232612,365
cond,C first games,bias,-0.137509476247497,-2.1116894412089,2.37247491820328,-1.78805915693426,1.88336649128819,1.37888810092808,153
