universe,model,n,beta_mv,beta_lo95,beta_hi95,moves_ge_half,toward_share,toward_lo,toward_hi,mean_clv,clv_lo95,clv_hi95
dev,I,1539,0.0314902235788279,0.00213501892050918,0.0737268044281852,1294,0.512364760432767,0.485134053428299,0.539522270949779,0.0597790773229374,-0.0374506304480207,0.162778181742809
dev,C2f,1539,0.0847733067677064,0.0382513484210394,0.152103166896658,1294,0.554868624420402,0.527667614113407,0.58174482531431,0.228070175438597,0.116563653362012,0.348918348472639
dev,C,1539,0.0863453738097964,0.0396429285988428,0.154352032600456,1294,0.551004636785162,0.523792747461787,0.577914590597782,0.227745289148797,0.118768118817927,0.346618677138099
devK,K,1539,0.0562162289249296,0.0227595168266403,0.111541031412417,1294,0.550231839258114,0.523017971695692,0.577148346090247,0.149447693307342,0.0392903163467709,0.268750221590607
cond,I,2398,0.0991595930543224,0.0560605459192004,0.151723114687003,1983,0.54059505799294,0.518603503967226,0.562429634980641,0.266889074228522,0.167074276813483,0.358535454280487
cond,C2f,2398,0.187070926385394,0.1326744480329,0.244720503256136,1983,0.57034795763994,0.548444704240419,0.591979182507748,0.364470391993327,0.264442326487703,0.45672790787209
cond,C,2398,0.193410408741149,0.138349134606324,0.25038107522869,1983,0.56631366616238,0.544393788155884,0.5879771158397,0.371976647206006,0.27380536630193,0.458871043412769
condK,K,2398,0.122626636293492,0.0782584526155495,0.173694080056738,1983,0.556227937468482,0.53427290612973,0.577965540984397,0.317139282735614,0.216850156062529,0.415659782186667
