season,games,teams,tau_true_sd,sigma_game_noise,gp_q25,post_sd_q25,gp_q50,post_sd_q50,gp_full,post_sd_full
2014,760,128,12.196695578795,14.5698906198114,3,7.72027701719288,6,5.81189180487276,12,4.32966731606166
2015,765,128,12.5624351665673,14.7270786114829,3,7.85600890191994,6,5.89434589758999,12,4.37764147891739
2016,760,128,11.7609202642034,15.6056004298842,3,7.83536489934436,6,6.0374638254531,12,4.54270194984411
2017,776,130,12.636246693053,14.4099522832211,3,7.80274231028266,6,5.81914095942875,12,4.3127060607255
2018,772,130,12.0846914030312,14.8555515238253,3,7.75797265503256,6,5.88254292929774,12,4.39448121079081
2019,774,130,13.5161576315101,14.0676591923797,3,7.94670844024286,6,5.8139637661524,12,4.28982053974885
2021,770,130,11.5401167517715,14.6189023809842,3,7.53586591846182,6,5.74154837347629,12,4.30849120889021
2022,776,131,10.8506014969913,14.5773767531307,3,7.27437824996122,6,5.61602275771053,12,4.23512950563202
