source,season,metric,value
plays_raw,2013,vendor_ppa_finite_share,0.950737828796549
plays_raw,2013,dropbacks_passer_name_parsed_share,0.99934370043571
plays_raw,2013,dropbacks_passer_parsed_either_format_share,0.99934370043571
drives_raw,2013,fbs_vs_fbs_games_share,1
drives_raw,2013,start_yards_to_goal_finite_share,1
plays_raw,2014,fbs_vs_fbs_games_share,0.981578947368421
plays_raw,2014,fbs_vs_fcs_games_share,0.972222222222222
plays_raw,2014,scrimmage_plays,121336
plays_raw,2014,vendor_ppa_finite_share,0.998087954110899
plays_raw,2014,dropbacks_passer_name_parsed_share,0.990226044310902
plays_raw,2014,dropbacks_passer_parsed_either_format_share,0.990226044310902
drives_raw,2014,fbs_vs_fbs_games_share,0.981578947368421
drives_raw,2014,start_yards_to_goal_finite_share,1
plays_raw,2015,fbs_vs_fbs_games_share,0.990849673202614
plays_raw,2015,fbs_vs_fcs_games_share,1
plays_raw,2015,scrimmage_plays,122449
plays_raw,2015,vendor_ppa_finite_share,0.999069000155167
plays_raw,2015,dropbacks_passer_name_parsed_share,0.989587852494577
plays_raw,2015,dropbacks_passer_parsed_either_format_share,0.989587852494577
drives_raw,2015,fbs_vs_fbs_games_share,0.990849673202614
drives_raw,2015,start_yards_to_goal_finite_share,1
plays_raw,2016,fbs_vs_fbs_games_share,0.982894736842105
plays_raw,2016,fbs_vs_fcs_games_share,0.973451327433628
plays_raw,2016,scrimmage_plays,121408
plays_raw,2016,vendor_ppa_finite_share,0.999217514496574
plays_raw,2016,dropbacks_passer_name_parsed_share,0.990170138949729
plays_raw,2016,dropbacks_passer_parsed_either_format_share,0.990170138949729
drives_raw,2016,fbs_vs_fbs_games_share,0.982894736842105
drives_raw,2016,start_yards_to_goal_finite_share,1
plays_raw,2017,fbs_vs_fbs_games_share,0.994845360824742
plays_raw,2017,fbs_vs_fcs_games_share,0.989795918367347
plays_raw,2017,scrimmage_plays,121078
plays_raw,2017,vendor_ppa_finite_share,0.998414245362494
plays_raw,2017,dropbacks_passer_name_parsed_share,0.991806161204108
plays_raw,2017,dropbacks_passer_parsed_either_format_share,0.991806161204108
drives_raw,2017,fbs_vs_fbs_games_share,0.994845360824742
drives_raw,2017,start_yards_to_goal_finite_share,1
plays_raw,2018,fbs_vs_fbs_games_share,0.99740932642487
plays_raw,2018,fbs_vs_fcs_games_share,0.991071428571429
plays_raw,2018,scrimmage_plays,122909
plays_raw,2018,vendor_ppa_finite_share,0.998787720996835
plays_raw,2018,dropbacks_passer_name_parsed_share,0.99496966239693
plays_raw,2018,dropbacks_passer_parsed_either_format_share,0.99496966239693
drives_raw,2018,fbs_vs_fbs_games_share,0.99740932642487
drives_raw,2018,start_yards_to_goal_finite_share,1
plays_raw,2019,fbs_vs_fbs_games_share,0.998708010335917
plays_raw,2019,fbs_vs_fcs_games_share,1
plays_raw,2019,scrimmage_plays,122084
plays_raw,2019,vendor_ppa_finite_share,0.998730382359687
plays_raw,2019,dropbacks_passer_name_parsed_share,0.994740448860716
plays_raw,2019,dropbacks_passer_parsed_either_format_share,0.994740448860716
drives_raw,2019,fbs_vs_fbs_games_share,0.998708010335917
drives_raw,2019,start_yards_to_goal_finite_share,1
plays_raw,2020,fbs_vs_fbs_games_share,1
plays_raw,2020,fbs_vs_fcs_games_share,0.944444444444444
plays_raw,2020,scrimmage_plays,78944
plays_raw,2020,vendor_ppa_finite_share,0.998378597486826
plays_raw,2020,dropbacks_passer_name_parsed_share,0.983704522718896
plays_raw,2020,dropbacks_passer_parsed_either_format_share,0.983704522718896
drives_raw,2020,fbs_vs_fbs_games_share,1
drives_raw,2020,start_yards_to_goal_finite_share,1
plays_raw,2021,fbs_vs_fbs_games_share,1
plays_raw,2021,fbs_vs_fcs_games_share,1
plays_raw,2021,scrimmage_plays,119851
plays_raw,2021,vendor_ppa_finite_share,0.997630391068911
plays_raw,2021,dropbacks_passer_name_parsed_share,0.982295723181966
plays_raw,2021,dropbacks_passer_parsed_either_format_share,0.982295723181966
drives_raw,2021,fbs_vs_fbs_games_share,1
drives_raw,2021,start_yards_to_goal_finite_share,1
