split,games,with_close,with_open,sd_edge_close,sd_edge_open,sd_move
dev 2017-2022,3868,3868,1539,4.78066316267853,5.16883532762784,2.10800400061426
cond 2023-2025,2398,2398,2398,4.38676179565663,4.20218235855827,2.25551089883357
