sigma,ll_inc,ll_k,delta,se
12,0.541814024000513,0.544465389902418,0.00265136590190477,0.00148828736042275
13,0.537584108319371,0.538081654916813,0.000497546597441946,0.00133662494515504
14,0.535472633499051,0.534258618323191,-0.00121401517586019,0.00120861567826004
15,0.534854726053399,0.532269418651432,-0.00258530740196676,0.0011107172194201
16,0.535296098609408,0.531605697577214,-0.00369040103219425,0.00105314120436318
17,0.536489616876843,0.531905178910296,-0.00458443796654681,0.000986031270634914
18,0.538214981889575,0.532905681032713,-0.0053093008568619,0.000934018433906154
20,0.542664788914249,0.536290949068145,-0.00637383984610375,0.000882221563336144
