season,fbs_games,with_close,with_open,with_both,median_close_books,median_open_books,share_moved_ge_0.5,median_abs_move,p90_abs_move,open_close_sign_agree_abs_close_ge3,close_share,open_share,both_share
2017,776,776,0,0,2,0,,,,,1,0,0
2018,772,772,0,0,3,0,,,,,1,0,0
2019,774,774,0,0,3,0,,,,,1,0,0
2020,534,534,0,0,4,0,,,,,1,0,0
2021,770,770,770,770,3,1,0.833766233766234,1,3,0.980568011958147,1,1,1
2022,776,776,769,769,3,1,0.847854356306892,1,3,0.991136510092494,1,0.991,0.991
2023,792,792,792,792,3,2,0.799242424242424,1,3.5,0.983751846381093,1,1,1
2024,798,798,798,798,3,3,0.842105263157895,1,3.25,0.987730061349693,1,1,1
2025,808,808,808,808,3,3,0.839108910891089,1,3.5,0.988388969521045,1,1,1
