item,season,metric,value
fcs_schedule,2021,fcs_teams,128
fcs_schedule,2021,fbs_vs_fcs_games_in_this_pull,117
fcs_schedule,2022,games,822
fcs_schedule,2022,fcs_vs_fcs_games,645
fcs_schedule,2022,fcs_vs_fcs_with_final_score_share,1
fcs_schedule,2022,fcs_teams,130
fcs_schedule,2022,fbs_vs_fcs_games_in_this_pull,120
fcs_schedule,2023,games,811
fcs_schedule,2023,fcs_vs_fcs_games,635
fcs_schedule,2023,fcs_vs_fcs_with_final_score_share,1
fcs_schedule,2023,fcs_teams,128
fcs_schedule,2023,fbs_vs_fcs_games_in_this_pull,118
fcs_schedule,2024,games,871
fcs_schedule,2024,fcs_vs_fcs_games,692
fcs_schedule,2024,fcs_vs_fcs_with_final_score_share,1
fcs_schedule,2024,fcs_teams,129
fcs_schedule,2024,fbs_vs_fcs_games_in_this_pull,121
fcs_schedule,2025,games,879
fcs_schedule,2025,fcs_vs_fcs_games,691
fcs_schedule,2025,fcs_vs_fcs_with_final_score_share,1
fcs_schedule,2025,fcs_teams,129
fcs_schedule,2025,fbs_vs_fcs_games_in_this_pull,126
