split,arm,vs,metric,delta,lo95,hi95
dev,C2L,C0,logloss,-0.00134490541410638,-0.00284594994940837,6.4816699868583e-05
dev,C2L,C0,brier,-0.000451708275038224,-0.00104462672326495,0.000106876359308602
dev,C2L,C0,mae,-0.0176032936678644,-0.0430727110898752,0.00746509924618423
dev,C2L,I,logloss,-0.00729123735329717,-0.0128061150354701,-0.00206247418311138
dev,C2L,I,brier,-0.00327058665627198,-0.00559863870806185,-0.00102908360849242
dev,C2L,I,mae,-0.155508293298678,-0.283588734826534,-0.0351347031016085
dev,NP,C2L,logloss,0.0338460524092247,0.0219988671985014,0.0466616259654489
dev,NP,C2L,brier,0.0137850495334822,0.00901519004262825,0.0189720585363402
dev,NP,C2L,mae,1.01343869989678,0.657543279967628,1.40281377645352
dev,NP,C0,logloss,0.0325011469951183,0.0208568074419656,0.0453455477754764
dev,NP,C0,brier,0.013333341258444,0.00865314536070462,0.0184719564576093
dev,NP,C0,mae,0.995835406228911,0.6457496544247,1.37866392185872
dev,NP,I,logloss,0.0265548150559276,0.0142330855635841,0.0397557998394986
dev,NP,I,brier,0.0105144628772102,0.00542982500435809,0.0160188188523517
dev,NP,I,mae,0.857930406598099,0.532208399866576,1.21484133417806
cond,C2L,C0,logloss,-0.000884008278514887,-0.00208340456340163,0.000304414299791088
cond,C2L,C0,brier,-0.000310692263988457,-0.000763527552875251,0.000135317122647957
cond,C2L,C0,mae,0.00244883944800352,-0.02283502720762,0.0276831141570017
cond,C2L,I,logloss,-0.00664351439422707,-0.0138596993175256,0.000551987762977255
cond,C2L,I,brier,-0.00230328234036857,-0.00502635202949766,0.000405626202986725
cond,C2L,I,mae,-0.249727407346344,-0.398552166754636,-0.10646322637218
cond,NP,C2L,logloss,0.0320910250472972,0.0171049419938774,0.0490861250190692
cond,NP,C2L,brier,0.0117368889446468,0.00596510287948682,0.0184486483331856
cond,NP,C2L,mae,1.06458448737029,0.591350707718449,1.61898259612197
cond,NP,C0,logloss,0.0312070167687823,0.0164251145229294,0.0481200867386102
cond,NP,C0,brier,0.0114261966806584,0.0056603072703624,0.0181506354218306
cond,NP,C0,mae,1.06703332681829,0.592028805580799,1.61972694480677
cond,NP,I,logloss,0.0254475106530702,0.0104296846406504,0.0411701524768518
cond,NP,I,brier,0.00943360660427824,0.00367041461660957,0.0157112742575453
cond,NP,I,mae,0.814857080023945,0.36030225389299,1.33934698214251
