split,arm,game,n,bias,mae
dev,C2L,first game,226,2.68930196001519,14.7243915651651
dev,C2L,later,335,0.722848896028038,12.8331097002999
cond,C2L,first game,153,-0.137509476247498,12.17584980078
cond,C2L,later,212,0.757736102747819,12.4084128206537
dev,C0,first game,226,-9.35523737724749,16.0834819806594
dev,C0,later,335,-10.7246661661439,15.7963498648239
cond,C0,first game,153,-12.3158132987611,15.4903958033321
cond,C0,later,212,-11.3137710807295,15.5562276204295
