split,gp,model,n,logloss,brier,mae,rmse,bias,calib_slope,pred_sd,winners,np_ll,np_mae,ll_gain_vs_noprior,mae_gain_vs_noprior
cond,0,C0,170,0.460917499766625,0.154276204342622,12.887907398857,16.0399961941909,-0.976578855370729,1.10240752073549,14.1773795386692,0.747058823529412,0.653801117428528,18.6562814857189,0.192883617661902,5.76837408686192
cond,0,C2L,170,0.462008214058922,0.154736511753212,12.85541446124,16.0137788128523,-0.819916905119253,1.10999041505699,14.1063910767751,0.752941176470588,0.653801117428528,18.6562814857189,0.191792903369605,5.80086702447889
cond,0-3,C0,694,0.47043139202219,0.158282854577746,12.1870748244281,15.3693879150521,0.336271926769968,1.02897803151583,15.0855150262435,0.742074927953891,0.562877853862,15.3507958954567,0.09244646183981,3.16372107102853
cond,0-3,C2L,694,0.47002162684594,0.158055175144587,12.2043074198124,15.3499214289517,0.462608113926372,1.02810262091949,15.1176794506546,0.744956772334294,0.562877853862,15.3507958954567,0.0928562270160603,3.14648847564427
cond,1,C0,155,0.473230212714578,0.159088331432892,12.5715312766049,16.5674679344634,0.163528009580777,1.02408122212408,15.5334515158517,0.748387096774194,0.557445566383906,16.4990132541469,0.0842153536693275,3.92748197754204
cond,1,C2L,155,0.470827379975915,0.157521217528765,12.6613338425041,16.4855582637584,0.392497040978578,1.03300014069962,15.4830766296115,0.735483870967742,0.557445566383906,16.4990132541469,0.086618186407991,3.8376794116428
cond,2,C0,184,0.448267508898831,0.150998804746446,11.7256286178917,14.2393699433674,-0.134029890648699,1.01023550130203,16.4657733727807,0.733695652173913,0.510111797414559,14.2629994663578,0.0618442885157284,2.53737084846614
cond,2,C2L,184,0.449957944712754,0.151988188551812,11.7535490178876,14.2680056471731,-0.108549537666465,0.999654571239457,16.6142323968419,0.733695652173913,0.510111797414559,14.2629994663578,0.0601538527018052,2.50945044847024
cond,3,C0,185,0.498873008080699,0.168534458882516,11.6799062528736,14.7675994603626,2.15516638370661,0.959128261386298,13.704948734653,0.740540540540541,0.536358957316725,12.4332191495789,0.0374859492360269,0.75331289670534
cond,3,C2L,185,0.496665442798119,0.167586319685433,11.671400681403,14.7671032959161,2.26795664061689,0.9576496419666,13.7464857270414,0.756756756756757,0.536358957316725,12.4332191495789,0.0396935145186066,0.761818468175955
cond,4-6,C0,590,0.560826197408493,0.190788671281604,12.3318701422765,15.4451208208939,0.281159677999189,0.906444638222009,12.2312837996523,0.713559322033898,0.57340069755648,12.6866282186776,0.012574500147987,0.354758076401113
cond,4-6,C2L,590,0.559550813849189,0.190440109371565,12.309259785225,15.429885221407,0.31482427389425,0.90432537481428,12.2878061651209,0.716949152542373,0.57340069755648,12.6866282186776,0.0138498837072915,0.377368433452574
