season,pkey,scale_a,lambda0,lam_off_mean,lam_off_p10,lam_off_p90,lam_def_mean,lam_def_p10,lam_def_p90,omega,b_off,b_def,prior_power_sd
2017,2017,1.04763365588702,3,3.01174783758161,2.67731756712379,3.33104946841101,3.01673644108404,2.85292236052972,3.70953540385458,0.5,0.14689497253303,-0.262562782118884,8.80314168853414
2018,2018,1.0639927548448,3,3.00969099986576,2.69286994003796,3.29903822485975,3.02472910226846,2.69515503245057,3.79576552335381,0.25,0.151033316868402,-0.326508375060339,9.29596835846818
2019,2019,1.1187602583004,4,4.04876824865284,3.32532310274469,4.7529508897245,4.06822185266488,3.46357250627573,5.66098656636257,0.25,0.268871562316438,-0.420188707118225,10.0009508914486
2021,2021,1.16517994317032,4,4.05935203838778,3.18362368756301,4.74315696726439,4.01538171679679,3.741048493193,4.78021700199198,0.25,0.297056315230531,-0.226046733140928,9.37633834412919
2022,2022,1.14070154475741,4,4.02813226100686,3.23727425088973,4.53012490038314,4.00619539527151,3.81064499282204,4.39603891088229,0.25,0.171932215683041,-0.127440372378475,9.25649242014297
2023,2023,1.13374370380568,4,4.01111784875276,3.6207196503282,4.34500768342242,4.0004409539832,3.95111781455511,4.11082713962739,0.25,0.119067570155545,-0.0325219196595893,10.8484113964166
2024,2023,1.13374370380568,4,4.01619538141706,3.48022055873663,4.43152311536638,4.00049948708048,3.94522727846692,4.11448828510314,0.25,0.119067570155545,-0.0325219196595893,10.9445808793284
2025,2023,1.13374370380568,4,4.01760979974035,3.55155677594134,4.45950313404681,4.00057389805963,3.93710955852721,4.12642099741847,0.25,0.119067570155545,-0.0325219196595893,11.7129640963165
