split,model,set,n,logloss,brier,mae,rmse,winners,bias,calib_slope,pred_sd,p4g5
dev,C2L,min gp = 0,289,0.466530146258027,0.154798464604605,12.7922559716008,16.1297683940826,0.743944636678201,-2.18369229072436,1.22505573666219,13.1577918867087,6.47515983371043
dev,C2L,both gp = 0 (pure prior),228,0.439063278265731,0.14294961986367,13.1370432385996,16.5049296052284,0.767543859649123,-2.78341308556458,1.28124670936913,12.8979558823841,7.62756067641698
dev,C2L,all,3868,0.524781986896825,0.176356572029449,12.8167753492527,16.1712395139262,0.726473629782834,0.687383950116988,0.998445691910763,13.5668435371483,4.41968781921602
dev,C2,min gp = 0,289,0.472291126149769,0.156808333405796,12.8879039774758,16.2342657838753,0.747404844290657,-2.16262443777349,1.21848470735045,13.1246541508368,6.49331444723289
dev,C2,both gp = 0 (pure prior),228,0.43947209190839,0.143043671752058,13.1370432385996,16.5049296052284,0.767543859649123,-2.78341308556458,1.28124670936913,12.8979558823841,7.62756067641698
dev,C2,all,3868,0.526126892117469,0.176808280187778,12.8343786429205,16.2065963810173,0.725180972078594,0.638047045732453,0.998500866237088,13.5201158069384,4.57040082089314
dev,I,min gp = 0,289,0.47487886607969,0.157146907936611,13.3165597552351,16.73282381741,0.764705882352941,-2.52770370084751,1.27293762813316,12.297559739134,7.57847245763169
dev,I,both gp = 0 (pure prior),228,0.443329079594684,0.143354780203147,13.608972891503,17.1310385338284,0.793859649122807,-3.00047747849276,1.28640054368647,12.3699456522815,8.46858045014713
dev,I,all,3868,0.532073224728558,0.179627158757493,12.9722836425514,16.3502689404593,0.72182006204757,0.639237335066427,1.07506827490352,12.4362573596201,5.76844784484817
cond,C2L,min gp = 0,170,0.462008214028194,0.15473651175673,12.85541446124,16.0137788128523,0.752941176470588,-0.819916905119254,1.10999041505699,14.1063910767751,3.81354000184213
cond,C2L,both gp = 0 (pure prior),132,0.447364295970409,0.148024491090053,12.762278924644,15.9905345056537,0.772727272727273,-0.673397447068221,1.09258779942833,14.218979726571,2.58798013377829
cond,C2L,all,2398,0.52951680714832,0.179716055588025,12.2679998774215,15.4268951115592,0.721017514595496,0.169089732709122,0.982114345103234,13.2320925826725,0.338165532867354
cond,C2,min gp = 0,170,0.460917500060627,0.154276204316764,12.887907398857,16.0399961941909,0.747058823529412,-0.976578855370729,1.10240752073549,14.1773795386692,3.879980351739
cond,C2,both gp = 0 (pure prior),132,0.447460778977739,0.148029080409179,12.762278924644,15.9905345056537,0.772727272727273,-0.673397447068221,1.09258779942833,14.218979726571,2.58798013377829
cond,C2,all,2398,0.530400815531848,0.18002674785036,12.2655510379735,15.4395420857215,0.720183486238532,0.121507272998011,0.984504148534084,13.1846836959626,0.484793513531425
cond,I,min gp = 0,170,0.512497335255887,0.169880130651018,13.3405871548689,16.9143168474751,0.747058823529412,-2.31836776011167,1.16809202430468,12.7500672910979,7.48837684822964
cond,I,both gp = 0 (pure prior),132,0.504977962128882,0.164871403206017,13.0990430631673,16.7016880495882,0.765151515151515,-2.46788740077545,1.13016764637977,13.2463029754937,6.48112404673701
cond,I,all,2398,0.536160321552213,0.182019337927753,12.5177272847679,15.7874822415908,0.718932443703086,-0.0429618692898126,1.01473716473665,12.3702168872458,3.44132543039082
